"","well","sample","sample.2","auc","run","plate","A","mu","lambda"
"73","G01","Propiconazole","ETOH",7737.143,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.147,3.84973406218049e-06,8727.0898762342
"74","G02","Sodium metasilicate","H2O",9046.607,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.124,8.52451142665047e-06,5049.5157075927
"75","G03","Dequalinium Chloride","H2O",7810.162,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.144,4.35532937915323e-06,19538.0586093314
"76","G04","Hydroxyurea","H2O",15850.808,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.586,2.95884204355338e-05,13706.4874985922
"77","G05","Cycloheximide","DMSO",4940.557,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.016,1.52111373665673e-06,11327.8696381383
"78","G06","4-Aminopyridine","H2O",7795.402,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.175,6.65759219213938e-06,23467.2833390484
"79","G07","Propiconazole","ETOH",6852.13,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.079,2.86814403636781e-06,5793.95921186563
"80","G08","Sodium metasilicate","H2O",6887.8205,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.064,5.44684331789344e-06,973.074232289929
"81","G09","Dequalinium Chloride","H2O",8550.1425,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.202,6.91017207826183e-06,23368.7323064854
"82","G10","Hydroxyurea","H2O",15679.0105,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.586,3.56956781008941e-05,14289.6133825086
"83","G11","Cycloheximide","DMSO",4912.659,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.012,1.44948246966639e-06,0
"84","G12","4-Aminopyridine","H2O",7089.75,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.144,6.76148490924383e-06,29515.729642827
"85","H01","Miconazole Nitrate","DMSO",15333.5,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.643,3.32183341013043e-05,28638.7299506112
"86","H02","Guanidine hydrochloride","DMSO ",18713.9275,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.67,2.93787943183991e-05,21130.9375892836
"87","H03","2-Deoxy-D-glucose","H2O",12234.015,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.463,1.69929991200625e-05,24237.082819137
"88","H04","5-Fluorouracil","DMSO",5274.63,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.023,1.74549666059484e-06,0
"89","H05","Copper(II) sulfate","H2O",6454.893,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.02,1.6660964192996e-06,0
"90","H06","Benzamidine","H2O",19131.716,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.681,3.00496691180205e-05,21029.8238605099
"91","H07","Miconazole Nitrate","DMSO",14681.639,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.655,3.30399348427875e-05,29601.631489595
"92","H08","Guanidine hydrochloride","DMSO ",18279.2435,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.653,3.06260926561223e-05,22525.0961854385
"93","H09","2-Deoxy-D-glucose","H2O",10748.026,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.371,1.60791242815694e-05,27495.5459596651
"94","H10","5-Fluorouracil","DMSO",5035.127,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.011,1.8468849513382e-06,0
"95","H11","Copper(II) sulfate","H2O",6237.6015,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.013,2.81534237544324e-06,0
"96","H12","Benzamidine","H2O",18533.781,"SR1_results_DRUGPLATES_2019-07-02","S1L1",0.649,3.47894410555047e-05,23455.793335942
