"","well","sample","sample.2","auc","run","plate","A","mu","lambda"
"32","C08","Caffeine","H2O",20022.728,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.697,3.10718525176812e-05,18592.864169354
"33","C09","Chlorpromazine hydrochloride ","H2O",21250.476,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.746,2.87350348980418e-05,14708.8958235788
"34","C10","Sodium Orthovanadate","H2O",5468.8975,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.042,3.89619843572333e-06,0
"35","C11","Blasticidin hydrochloride","H2O",18302.636,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.767,3.70239203547205e-05,25536.212903345
"36","C12","Diamide","H2O",17781.8,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.829,3.88567392500639e-05,27804.5294551726
"37","D01","Nystatin ","DMSO",4945.4475,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.015,7.27718700574727e-07,936
"38","D02","Triclosan","DMSO",17811.8905,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.727,3.38814241852774e-05,24667.9460799681
"39","D03","Menadione ","ETOH",5461.9955,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.04,1.49571165472999e-06,3379.79743857133
"40","D04","Trifluoperazine","H2O",23503.999,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.903,4.10632152305732e-05,20554.3617741572
"41","D05","3-Amino-1,2,4- triazole","H2O",21975.487,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.872,4.8749311109363e-05,25543.6803213134
"42","D06","Sodium Selenate","H2O",20455.267,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.713,3.1402027587502e-05,19189.2069156338
"43","D07","Nystatin ","DMSO",4832.818,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.00700000000000001,1.02584901093597e-06,0
"44","D08","Triclosan","DMSO",15976.62,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.63,3.12022087729888e-05,25724.2973606822
"45","D09","Menadione ","ETOH",4996.6395,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.02,1.107900853398e-06,1079.56862635158
"46","D10","Trifluoperazine","H2O",22554.0275,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.829,3.95061807479286e-05,20410.9412141875
"47","D11","3-Amino-1,2,4- triazole","H2O",19915.2835,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.751,4.0461366360871e-05,24241.0168967974
"48","D12","Sodium Selenate","H2O",22479.784,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.859,3.67535968180466e-05,19892.0367885247
"49","E01","Myclobutanil","ETOH",9515.9205,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.23,2.01918996799229e-05,40250.2936451793
"50","E02","Miltefosine","DMSO",16336.2055,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.683,3.38413315561172e-05,26744.4327463074
"51","E03","Poly-L-lysine hydrochloride","H2O",22868.3245,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.863,3.86627507312547e-05,20057.9127862321
"52","E04","Pentamidine Isethionate","H2O",23289.1625,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.883,3.96298562485578e-05,20342.6765837535
"53","E05","Thialysine","H2O",9388.7675,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.341,3.60204093143212e-05,40451.3458414996
"54","E06","Urea hydrogen peroxide","H2O",22184.9115,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.784,3.4607999395628e-05,18016.0860881606
"55","E07","Myclobutanil","ETOH",7963.219,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.122,4.59507807874587e-06,8230.30217473877
"56","E08","Miltefosine","DMSO",16022.1585,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.56,3.23259318636286e-05,34317.4468117288
"57","E09","Poly-L-lysine hydrochloride","H2O",21033.5765,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.724,3.21230107234243e-05,17578.4616734715
"58","E10","Pentamidine Isethionate","H2O",22606.4015,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.851,3.90500827005074e-05,20347.8819371347
"59","E11","Thialysine","H2O",9713.454,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.34,2.10644707742992e-05,32541.8878701293
"60","E12","Urea hydrogen peroxide","H2O",16212.0835,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.586,2.74664846542226e-05,21379.9320133057
"61","F01","Fluconazole","DMSO",22711.746,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.741,1.60292316882252e-05,7561.37301654641
"62","F02","Cinnamic acid","DMSO",15605.1465,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.534,2.54761548249969e-05,29825.9095315837
"63","F03","CCCP","DMSO ",13439.3095,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.249,1.62304816730386e-05,1963.23848643546
"64","F04","methylmethane sulfonate","H2O",23375.0265,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.868,2.44077882618289e-05,7581.57468579655
"65","F05","Hygromycin B","H2O",24306.983,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.93,4.49967072830735e-05,21608.1744197027
"66","F06","Thiourea","H2O",23455.9035,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.878,3.81513487635967e-05,18808.4387008156
"67","F07","Fluconazole","DMSO",18570.173,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.546,1.39067577269729e-05,2180.4406256031
"68","F08","Cinnamic acid","DMSO",14420.5685,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.379,1.46344361321908e-05,2383.36039603147
"69","F09","CCCP","DMSO ",12922.0715,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.241,1.50468268820239e-05,2430.38737425636
"70","F10","methylmethane sulfonate","H2O",22544.567,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.822,3.23924701226106e-05,16274.541470042
"71","F11","Hygromycin B","H2O",23397.2375,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.91,4.19174826466273e-05,21096.5605635429
"72","F12","Thiourea","H2O",23743.111,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.91,2.77049700628171e-05,10775.1121124046
"73","G01","Propiconazole","ETOH",7339.9765,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.118,4.05833583306812e-06,10141.8983038233
"74","G02","Sodium metasilicate","H2O",16505.43,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.447,1.2939025533598e-05,2849.71937874912
"75","G03","Dequalinium Chloride","H2O",20464.253,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.761,2.53725054934698e-05,15514.4188126933
"76","G04","Hydroxyurea","H2O",16753.527,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.59,2.59760677187997e-05,20139.9797816359
"77","G05","Cycloheximide","DMSO",5322.0605,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.031,1.01275306574228e-06,888.592473104929
"78","G06","4-Aminopyridine","H2O",16454.6675,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.805,3.34050376121058e-05,27062.6899911596
"79","G07","Propiconazole","ETOH",6935.8235,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.09,3.30791246819705e-06,6376.30890357675
"80","G08","Sodium metasilicate","H2O",8342.299,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.132,9.14813281828504e-06,13131.082657606
"81","G09","Dequalinium Chloride","H2O",21172.395,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.783,3.15217771390331e-05,18249.162909984
"82","G10","Hydroxyurea","H2O",17049.512,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.607,2.78058728401715e-05,21485.6242910221
"83","G11","Cycloheximide","DMSO",7923.8675,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.111,4.34348530554415e-06,4121.79386583019
"84","G12","4-Aminopyridine","H2O",16183.129,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.764,3.23602574211609e-05,26734.9696501555
"85","H01","Miconazole Nitrate","DMSO",17617.354,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.633,3.11643767475328e-05,22800.0511984882
"86","H02","Guanidine hydrochloride","DMSO ",20488.902,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.714,3.64542979428075e-05,20393.8015898116
"87","H03","2-Deoxy-D-glucose","H2O",20647.998,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.773,3.35177426443061e-05,20288.3245853344
"88","H04","5-Fluorouracil","DMSO",7143.1535,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.221,3.65114424155167e-05,45563.7066033372
"89","H05","Copper(II) sulfate","H2O",6853.5755,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.044,2.54743398753108e-06,2253.92932423698
"90","H06","Benzamidine","H2O",23596.533,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.848,2.4652334904115e-05,16449.6658308175
"91","H07","Miconazole Nitrate","DMSO",27959.2755,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.976,3.73057928905392e-05,18490.6092495522
"92","H08","Guanidine hydrochloride","DMSO ",23974.0955,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.881,3.31142118764573e-05,15108.1737240996
"93","H09","2-Deoxy-D-glucose","H2O",22345.6695,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.83,3.14085500632268e-05,16900.9442379556
"94","H10","5-Fluorouracil","DMSO",7998.935,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.214,2.34691145778809e-05,42522.6329951497
"95","H11","Copper(II) sulfate","H2O",5704.564,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.00900000000000001,1.10065871639907e-06,82.3594764643812
"96","H12","Benzamidine","H2O",20245.4745,"SR1_results_DRUGPLATES_2019-07-02","S3L1",0.64,2.55198555636407e-05,15766.8534371424
