plate,well,runtime,measure,run,measures_pp
S1L1,A01,42833,0.759,SR1_results_DRUGPLATES_2019-07-02,0.675
S1L1,A01,43803,0.779,SR1_results_DRUGPLATES_2019-07-02,0.6950000000000001
S1L1,A01,44774,0.795,SR1_results_DRUGPLATES_2019-07-02,0.7110000000000001
S1L1,A01,45745,0.797,SR1_results_DRUGPLATES_2019-07-02,0.7130000000000001
S1L1,A01,46726,0.791,SR1_results_DRUGPLATES_2019-07-02,0.7070000000000001
S1L1,A01,47707,0.785,SR1_results_DRUGPLATES_2019-07-02,0.7010000000000001
S1L1,A01,48678,0.783,SR1_results_DRUGPLATES_2019-07-02,0.6990000000000001
S1L1,A01,49658,0.78,SR1_results_DRUGPLATES_2019-07-02,0.6960000000000001
S1L1,A01,50639,0.779,SR1_results_DRUGPLATES_2019-07-02,0.6950000000000001
S1L1,A01,51620,0.777,SR1_results_DRUGPLATES_2019-07-02,0.6930000000000001
S1L1,A01,52601,0.78,SR1_results_DRUGPLATES_2019-07-02,0.6960000000000001
S1L1,A02,0,0.084,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A02,938,0.085,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A02,1878,0.086,SR1_results_DRUGPLATES_2019-07-02,0.001999999999999988
S1L1,A02,2809,0.088,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A02,3750,0.089,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A02,4691,0.09,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A02,5631,0.091,SR1_results_DRUGPLATES_2019-07-02,0.006999999999999992
S1L1,A02,6572,0.091,SR1_results_DRUGPLATES_2019-07-02,0.006999999999999992
S1L1,A02,7513,0.092,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A02,8454,0.093,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A02,9395,0.093,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A02,10335,0.093,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A02,11276,0.094,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A02,12217,0.094,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A02,13158,0.095,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A02,16951,0.097,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A02,17902,0.097,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A02,18853,0.098,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A02,19803,0.098,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A02,20764,0.099,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A02,21715,0.099,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A02,38949,0.106,SR1_results_DRUGPLATES_2019-07-02,0.021999999999999992
S1L1,A02,39920,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,40891,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,41862,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,42833,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,43803,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,44774,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,45745,0.107,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,46726,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,47707,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,48678,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,49658,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,50639,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,51620,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,52601,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A03,0,0.089,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A03,938,0.089,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A03,1878,0.09,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A03,2809,0.092,SR1_results_DRUGPLATES_2019-07-02,0.0030000000000000027
S1L1,A03,3750,0.094,SR1_results_DRUGPLATES_2019-07-02,0.0050000000000000044
S1L1,A03,4691,0.095,SR1_results_DRUGPLATES_2019-07-02,0.006000000000000005
S1L1,A03,5631,0.097,SR1_results_DRUGPLATES_2019-07-02,0.008000000000000007
S1L1,A03,6572,0.099,SR1_results_DRUGPLATES_2019-07-02,0.010000000000000009
S1L1,A03,7513,0.099,SR1_results_DRUGPLATES_2019-07-02,0.010000000000000009
S1L1,A03,8454,0.101,SR1_results_DRUGPLATES_2019-07-02,0.01200000000000001
S1L1,A03,9395,0.102,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A03,10335,0.103,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A03,11276,0.104,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A03,12217,0.104,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A03,13158,0.106,SR1_results_DRUGPLATES_2019-07-02,0.017
S1L1,A03,16951,0.111,SR1_results_DRUGPLATES_2019-07-02,0.022000000000000006
S1L1,A03,17902,0.113,SR1_results_DRUGPLATES_2019-07-02,0.024000000000000007
S1L1,A03,18853,0.114,SR1_results_DRUGPLATES_2019-07-02,0.02500000000000001
S1L1,A03,19803,0.115,SR1_results_DRUGPLATES_2019-07-02,0.02600000000000001
S1L1,A03,20764,0.117,SR1_results_DRUGPLATES_2019-07-02,0.02800000000000001
S1L1,A03,21715,0.119,SR1_results_DRUGPLATES_2019-07-02,0.03
S1L1,A03,38949,0.177,SR1_results_DRUGPLATES_2019-07-02,0.088
S1L1,A03,39920,0.182,SR1_results_DRUGPLATES_2019-07-02,0.093
S1L1,A03,40891,0.189,SR1_results_DRUGPLATES_2019-07-02,0.1
S1L1,A03,41862,0.193,SR1_results_DRUGPLATES_2019-07-02,0.10400000000000001
S1L1,A03,42833,0.201,SR1_results_DRUGPLATES_2019-07-02,0.11200000000000002
S1L1,A03,43803,0.208,SR1_results_DRUGPLATES_2019-07-02,0.119
S1L1,A03,44774,0.216,SR1_results_DRUGPLATES_2019-07-02,0.127
S1L1,A03,45745,0.225,SR1_results_DRUGPLATES_2019-07-02,0.136
S1L1,A03,46726,0.234,SR1_results_DRUGPLATES_2019-07-02,0.14500000000000002
S1L1,A03,47707,0.245,SR1_results_DRUGPLATES_2019-07-02,0.156
S1L1,A03,48678,0.256,SR1_results_DRUGPLATES_2019-07-02,0.167
S1L1,A03,49658,0.269,SR1_results_DRUGPLATES_2019-07-02,0.18000000000000002
S1L1,A03,50639,0.284,SR1_results_DRUGPLATES_2019-07-02,0.19499999999999998
S1L1,A03,51620,0.299,SR1_results_DRUGPLATES_2019-07-02,0.21
S1L1,A03,52601,0.316,SR1_results_DRUGPLATES_2019-07-02,0.227
S1L1,A04,0,0.083,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A04,938,0.084,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A04,1878,0.085,SR1_results_DRUGPLATES_2019-07-02,0.0020000000000000018
S1L1,A04,2809,0.087,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A04,3750,0.088,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A04,4691,0.09,SR1_results_DRUGPLATES_2019-07-02,0.006999999999999992
S1L1,A04,5631,0.092,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A04,6572,0.094,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A04,7513,0.097,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A04,8454,0.101,SR1_results_DRUGPLATES_2019-07-02,0.018000000000000002
S1L1,A04,9395,0.106,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A04,10335,0.111,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A04,11276,0.116,SR1_results_DRUGPLATES_2019-07-02,0.033
S1L1,A04,12217,0.123,SR1_results_DRUGPLATES_2019-07-02,0.039999999999999994
S1L1,A04,13158,0.132,SR1_results_DRUGPLATES_2019-07-02,0.049
S1L1,A04,16951,0.265,SR1_results_DRUGPLATES_2019-07-02,0.182
S1L1,A04,17902,0.297,SR1_results_DRUGPLATES_2019-07-02,0.21399999999999997
S1L1,A04,18853,0.357,SR1_results_DRUGPLATES_2019-07-02,0.27399999999999997
S1L1,A04,19803,0.172,SR1_results_DRUGPLATES_2019-07-02,0.08899999999999998
S1L1,A04,20764,0.179,SR1_results_DRUGPLATES_2019-07-02,0.09599999999999999
S1L1,A04,21715,0.18,SR1_results_DRUGPLATES_2019-07-02,0.09699999999999999
S1L1,A04,38949,0.544,SR1_results_DRUGPLATES_2019-07-02,0.461
S1L1,A04,39920,0.566,SR1_results_DRUGPLATES_2019-07-02,0.48299999999999993
S1L1,A04,40891,0.588,SR1_results_DRUGPLATES_2019-07-02,0.505
S1L1,A04,41862,0.608,SR1_results_DRUGPLATES_2019-07-02,0.525
S1L1,A04,42833,0.631,SR1_results_DRUGPLATES_2019-07-02,0.548
S1L1,A04,43803,0.65,SR1_results_DRUGPLATES_2019-07-02,0.5670000000000001
S1L1,A04,44774,0.672,SR1_results_DRUGPLATES_2019-07-02,0.5890000000000001
S1L1,A04,45745,0.692,SR1_results_DRUGPLATES_2019-07-02,0.609
S1L1,A04,46726,0.711,SR1_results_DRUGPLATES_2019-07-02,0.628
S1L1,A04,47707,0.729,SR1_results_DRUGPLATES_2019-07-02,0.646
S1L1,A04,48678,0.748,SR1_results_DRUGPLATES_2019-07-02,0.665
S1L1,A04,49658,0.765,SR1_results_DRUGPLATES_2019-07-02,0.682
S1L1,A04,50639,0.779,SR1_results_DRUGPLATES_2019-07-02,0.6960000000000001
S1L1,A04,51620,0.79,SR1_results_DRUGPLATES_2019-07-02,0.7070000000000001
S1L1,A04,52601,0.799,SR1_results_DRUGPLATES_2019-07-02,0.7160000000000001
S1L1,A05,0,0.084,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A05,938,0.085,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A05,1878,0.086,SR1_results_DRUGPLATES_2019-07-02,0.001999999999999988
S1L1,A05,2809,0.088,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A05,3750,0.09,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A05,4691,0.092,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A05,5631,0.094,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A05,6572,0.097,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A05,7513,0.099,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A05,8454,0.103,SR1_results_DRUGPLATES_2019-07-02,0.01899999999999999
S1L1,A05,9395,0.108,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A05,10335,0.115,SR1_results_DRUGPLATES_2019-07-02,0.031
S1L1,A05,11276,0.118,SR1_results_DRUGPLATES_2019-07-02,0.03399999999999999
S1L1,A05,12217,0.125,SR1_results_DRUGPLATES_2019-07-02,0.040999999999999995
S1L1,A05,13158,0.13,SR1_results_DRUGPLATES_2019-07-02,0.046
S1L1,A05,16951,0.193,SR1_results_DRUGPLATES_2019-07-02,0.109
S1L1,A05,17902,0.246,SR1_results_DRUGPLATES_2019-07-02,0.16199999999999998
S1L1,A05,18853,0.281,SR1_results_DRUGPLATES_2019-07-02,0.197
S1L1,A05,19803,0.163,SR1_results_DRUGPLATES_2019-07-02,0.079
S1L1,A05,20764,0.167,SR1_results_DRUGPLATES_2019-07-02,0.083
S1L1,A05,21715,0.169,SR1_results_DRUGPLATES_2019-07-02,0.085
S1L1,A05,38949,0.627,SR1_results_DRUGPLATES_2019-07-02,0.543
S1L1,A05,39920,0.665,SR1_results_DRUGPLATES_2019-07-02,0.5810000000000001
S1L1,A05,40891,0.707,SR1_results_DRUGPLATES_2019-07-02,0.623
S1L1,A05,41862,0.741,SR1_results_DRUGPLATES_2019-07-02,0.657
S1L1,A05,42833,0.779,SR1_results_DRUGPLATES_2019-07-02,0.6950000000000001
S1L1,A05,43803,0.814,SR1_results_DRUGPLATES_2019-07-02,0.73
S1L1,A05,44774,0.845,SR1_results_DRUGPLATES_2019-07-02,0.761
S1L1,A05,45745,0.873,SR1_results_DRUGPLATES_2019-07-02,0.789
S1L1,A05,46726,0.891,SR1_results_DRUGPLATES_2019-07-02,0.807
S1L1,A05,47707,0.897,SR1_results_DRUGPLATES_2019-07-02,0.8130000000000001
S1L1,A05,48678,0.901,SR1_results_DRUGPLATES_2019-07-02,0.8170000000000001
S1L1,A05,49658,0.903,SR1_results_DRUGPLATES_2019-07-02,0.8190000000000001
S1L1,A05,50639,0.908,SR1_results_DRUGPLATES_2019-07-02,0.8240000000000001
S1L1,A05,51620,0.911,SR1_results_DRUGPLATES_2019-07-02,0.8270000000000001
S1L1,A05,52601,0.915,SR1_results_DRUGPLATES_2019-07-02,0.8310000000000001
S1L1,A06,0,0.082,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A06,938,0.083,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A06,1878,0.084,SR1_results_DRUGPLATES_2019-07-02,0.0020000000000000018
S1L1,A06,2809,0.086,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A06,3750,0.087,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A06,4691,0.088,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A06,5631,0.09,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A06,6572,0.091,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A06,7513,0.093,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A06,8454,0.095,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A06,9395,0.097,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A06,10335,0.098,SR1_results_DRUGPLATES_2019-07-02,0.016
S1L1,A06,11276,0.102,SR1_results_DRUGPLATES_2019-07-02,0.01999999999999999
S1L1,A06,12217,0.106,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A06,13158,0.11,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A06,16951,0.132,SR1_results_DRUGPLATES_2019-07-02,0.05
S1L1,A06,17902,0.149,SR1_results_DRUGPLATES_2019-07-02,0.06699999999999999
S1L1,A06,18853,0.177,SR1_results_DRUGPLATES_2019-07-02,0.09499999999999999
S1L1,A06,19803,0.208,SR1_results_DRUGPLATES_2019-07-02,0.126
S1L1,A06,20764,0.246,SR1_results_DRUGPLATES_2019-07-02,0.16399999999999998
S1L1,A06,21715,0.284,SR1_results_DRUGPLATES_2019-07-02,0.20199999999999996
S1L1,A06,38949,0.347,SR1_results_DRUGPLATES_2019-07-02,0.26499999999999996
S1L1,A06,39920,0.339,SR1_results_DRUGPLATES_2019-07-02,0.257
S1L1,A06,40891,0.354,SR1_results_DRUGPLATES_2019-07-02,0.27199999999999996
S1L1,A06,41862,0.372,SR1_results_DRUGPLATES_2019-07-02,0.29
S1L1,A06,42833,0.39,SR1_results_DRUGPLATES_2019-07-02,0.308
S1L1,A06,43803,0.403,SR1_results_DRUGPLATES_2019-07-02,0.321
S1L1,A06,44774,0.419,SR1_results_DRUGPLATES_2019-07-02,0.33699999999999997
S1L1,A06,45745,0.441,SR1_results_DRUGPLATES_2019-07-02,0.359
S1L1,A06,46726,0.46,SR1_results_DRUGPLATES_2019-07-02,0.378
S1L1,A06,47707,0.477,SR1_results_DRUGPLATES_2019-07-02,0.39499999999999996
S1L1,A06,48678,0.495,SR1_results_DRUGPLATES_2019-07-02,0.413
S1L1,A06,49658,0.515,SR1_results_DRUGPLATES_2019-07-02,0.433
S1L1,A06,50639,0.535,SR1_results_DRUGPLATES_2019-07-02,0.453
S1L1,A06,51620,0.558,SR1_results_DRUGPLATES_2019-07-02,0.47600000000000003
S1L1,A06,52601,0.58,SR1_results_DRUGPLATES_2019-07-02,0.49799999999999994
S1L1,A07,0,0.081,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A07,938,0.082,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A07,1878,0.084,SR1_results_DRUGPLATES_2019-07-02,0.0030000000000000027
S1L1,A07,2809,0.085,SR1_results_DRUGPLATES_2019-07-02,0.0040000000000000036
S1L1,A07,3750,0.086,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A07,4691,0.087,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A07,5631,0.089,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A07,6572,0.09,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A07,7513,0.092,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A07,8454,0.094,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A07,9395,0.097,SR1_results_DRUGPLATES_2019-07-02,0.016
S1L1,A07,10335,0.102,SR1_results_DRUGPLATES_2019-07-02,0.02099999999999999
S1L1,A07,11276,0.107,SR1_results_DRUGPLATES_2019-07-02,0.025999999999999995
S1L1,A07,12217,0.113,SR1_results_DRUGPLATES_2019-07-02,0.032
S1L1,A07,13158,0.121,SR1_results_DRUGPLATES_2019-07-02,0.039999999999999994
S1L1,A07,16951,0.246,SR1_results_DRUGPLATES_2019-07-02,0.16499999999999998
S1L1,A07,17902,0.309,SR1_results_DRUGPLATES_2019-07-02,0.22799999999999998
S1L1,A07,18853,0.377,SR1_results_DRUGPLATES_2019-07-02,0.296
S1L1,A07,19803,0.391,SR1_results_DRUGPLATES_2019-07-02,0.31
S1L1,A07,20764,0.165,SR1_results_DRUGPLATES_2019-07-02,0.084
S1L1,A07,21715,0.184,SR1_results_DRUGPLATES_2019-07-02,0.103
S1L1,A07,38949,0.653,SR1_results_DRUGPLATES_2019-07-02,0.5720000000000001
S1L1,A07,39920,0.682,SR1_results_DRUGPLATES_2019-07-02,0.6010000000000001
S1L1,A07,40891,0.713,SR1_results_DRUGPLATES_2019-07-02,0.632
S1L1,A07,41862,0.739,SR1_results_DRUGPLATES_2019-07-02,0.658
S1L1,A07,42833,0.771,SR1_results_DRUGPLATES_2019-07-02,0.6900000000000001
S1L1,A07,43803,0.794,SR1_results_DRUGPLATES_2019-07-02,0.7130000000000001
S1L1,A07,44774,0.809,SR1_results_DRUGPLATES_2019-07-02,0.7280000000000001
S1L1,A07,45745,0.813,SR1_results_DRUGPLATES_2019-07-02,0.732
S1L1,A07,46726,0.81,SR1_results_DRUGPLATES_2019-07-02,0.7290000000000001
S1L1,A07,47707,0.805,SR1_results_DRUGPLATES_2019-07-02,0.7240000000000001
S1L1,A07,48678,0.802,SR1_results_DRUGPLATES_2019-07-02,0.7210000000000001
S1L1,A07,49658,0.801,SR1_results_DRUGPLATES_2019-07-02,0.7200000000000001
S1L1,A07,50639,0.8,SR1_results_DRUGPLATES_2019-07-02,0.7190000000000001
S1L1,A07,51620,0.803,SR1_results_DRUGPLATES_2019-07-02,0.7220000000000001
S1L1,A07,52601,0.802,SR1_results_DRUGPLATES_2019-07-02,0.7210000000000001
S1L1,A08,0,0.082,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A08,938,0.084,SR1_results_DRUGPLATES_2019-07-02,0.0020000000000000018
S1L1,A08,1878,0.085,SR1_results_DRUGPLATES_2019-07-02,0.0030000000000000027
S1L1,A08,2809,0.086,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A08,3750,0.087,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A08,4691,0.088,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A08,5631,0.089,SR1_results_DRUGPLATES_2019-07-02,0.006999999999999992
S1L1,A08,6572,0.09,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A08,7513,0.09,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A08,8454,0.091,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A08,9395,0.091,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A08,10335,0.092,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A08,11276,0.092,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A08,12217,0.092,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A08,13158,0.093,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A08,16951,0.095,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A08,17902,0.095,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A08,18853,0.096,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A08,19803,0.096,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A08,20764,0.098,SR1_results_DRUGPLATES_2019-07-02,0.016
S1L1,A08,21715,0.097,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A08,38949,0.107,SR1_results_DRUGPLATES_2019-07-02,0.024999999999999994
S1L1,A08,39920,0.107,SR1_results_DRUGPLATES_2019-07-02,0.024999999999999994
S1L1,A08,40891,0.108,SR1_results_DRUGPLATES_2019-07-02,0.025999999999999995
S1L1,A08,41862,0.107,SR1_results_DRUGPLATES_2019-07-02,0.024999999999999994
S1L1,A08,42833,0.109,SR1_results_DRUGPLATES_2019-07-02,0.026999999999999996
S1L1,A08,43803,0.109,SR1_results_DRUGPLATES_2019-07-02,0.026999999999999996
S1L1,A08,44774,0.109,SR1_results_DRUGPLATES_2019-07-02,0.026999999999999996
S1L1,A08,45745,0.109,SR1_results_DRUGPLATES_2019-07-02,0.026999999999999996
S1L1,A08,46726,0.11,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A08,47707,0.109,SR1_results_DRUGPLATES_2019-07-02,0.026999999999999996
S1L1,A08,48678,0.11,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A08,49658,0.11,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A08,50639,0.11,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A08,51620,0.11,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A08,52601,0.11,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A09,0,0.086,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A09,938,0.086,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A09,1878,0.087,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A09,2809,0.088,SR1_results_DRUGPLATES_2019-07-02,0.0020000000000000018
S1L1,A09,3750,0.089,SR1_results_DRUGPLATES_2019-07-02,0.0030000000000000027
S1L1,A09,4691,0.089,SR1_results_DRUGPLATES_2019-07-02,0.0030000000000000027
S1L1,A09,5631,0.09,SR1_results_DRUGPLATES_2019-07-02,0.0040000000000000036
S1L1,A09,6572,0.091,SR1_results_DRUGPLATES_2019-07-02,0.0050000000000000044
S1L1,A09,7513,0.091,SR1_results_DRUGPLATES_2019-07-02,0.0050000000000000044
S1L1,A09,8454,0.092,SR1_results_DRUGPLATES_2019-07-02,0.006000000000000005
S1L1,A09,9395,0.092,SR1_results_DRUGPLATES_2019-07-02,0.006000000000000005
S1L1,A09,10335,0.092,SR1_results_DRUGPLATES_2019-07-02,0.006000000000000005
S1L1,A09,11276,0.093,SR1_results_DRUGPLATES_2019-07-02,0.007000000000000006
S1L1,A09,12217,0.094,SR1_results_DRUGPLATES_2019-07-02,0.008000000000000007
S1L1,A09,13158,0.095,SR1_results_DRUGPLATES_2019-07-02,0.009000000000000008
S1L1,A09,16951,0.099,SR1_results_DRUGPLATES_2019-07-02,0.013000000000000012
S1L1,A09,17902,0.1,SR1_results_DRUGPLATES_2019-07-02,0.014000000000000012
S1L1,A09,18853,0.101,SR1_results_DRUGPLATES_2019-07-02,0.015000000000000013
S1L1,A09,19803,0.101,SR1_results_DRUGPLATES_2019-07-02,0.015000000000000013
S1L1,A09,20764,0.103,SR1_results_DRUGPLATES_2019-07-02,0.017
S1L1,A09,21715,0.104,SR1_results_DRUGPLATES_2019-07-02,0.018000000000000002
S1L1,A09,38949,0.167,SR1_results_DRUGPLATES_2019-07-02,0.08100000000000002
S1L1,A09,39920,0.174,SR1_results_DRUGPLATES_2019-07-02,0.088
S1L1,A09,40891,0.182,SR1_results_DRUGPLATES_2019-07-02,0.096
S1L1,A09,41862,0.191,SR1_results_DRUGPLATES_2019-07-02,0.10500000000000001
