plate,well,runtime,measure,sample,sample.2,run,measures_pp
S1L1,A02,9395,0.093,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A02,10335,0.093,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A02,11276,0.094,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A02,12217,0.094,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A02,13158,0.095,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A02,16951,0.097,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A02,17902,0.097,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A02,18853,0.098,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A02,19803,0.098,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A02,20764,0.099,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A02,21715,0.099,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A02,38949,0.106,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.021999999999999992
S1L1,A02,39920,0.107,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,40891,0.107,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,41862,0.107,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,42833,0.107,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,43803,0.107,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,44774,0.107,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,45745,0.107,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A02,46726,0.108,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,47707,0.108,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,48678,0.108,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,49658,0.108,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,50639,0.108,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,51620,0.108,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A02,52601,0.108,Cetylpyridinium chloride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A03,0,0.089,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A03,938,0.089,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A03,1878,0.09,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A03,2809,0.092,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.0030000000000000027
S1L1,A03,3750,0.094,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.0050000000000000044
S1L1,A03,4691,0.095,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.006000000000000005
S1L1,A03,5631,0.097,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.008000000000000007
S1L1,A03,6572,0.099,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.010000000000000009
S1L1,A03,7513,0.099,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.010000000000000009
S1L1,A03,8454,0.101,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.01200000000000001
S1L1,A03,9395,0.102,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A03,10335,0.103,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A03,11276,0.104,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A03,12217,0.104,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A03,13158,0.106,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.017
S1L1,A03,16951,0.111,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.022000000000000006
S1L1,A03,17902,0.113,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.024000000000000007
S1L1,A03,18853,0.114,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.02500000000000001
S1L1,A03,19803,0.115,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.02600000000000001
S1L1,A03,20764,0.117,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.02800000000000001
S1L1,A03,21715,0.119,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.03
S1L1,A03,38949,0.177,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.088
S1L1,A03,39920,0.182,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.093
S1L1,A03,40891,0.189,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.1
S1L1,A03,41862,0.193,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.10400000000000001
S1L1,A03,42833,0.201,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.11200000000000002
S1L1,A03,43803,0.208,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.119
S1L1,A03,44774,0.216,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.127
S1L1,A03,45745,0.225,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.136
S1L1,A03,46726,0.234,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.14500000000000002
S1L1,A03,47707,0.245,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.156
S1L1,A03,48678,0.256,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.167
S1L1,A03,49658,0.269,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.18000000000000002
S1L1,A03,50639,0.284,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.19499999999999998
S1L1,A03,51620,0.299,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.21
S1L1,A03,52601,0.316,Tamoxifen, H2O,SR1_results_DRUGPLATES_2019-07-02,0.227
S1L1,A04,0,0.083,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A04,938,0.084,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A04,1878,0.085,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0020000000000000018
S1L1,A04,2809,0.087,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A04,3750,0.088,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A04,4691,0.09,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.006999999999999992
S1L1,A04,5631,0.092,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A04,6572,0.094,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A04,7513,0.097,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.013999999999999999
S1L1,A04,8454,0.101,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.018000000000000002
S1L1,A04,9395,0.106,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.022999999999999993
S1L1,A04,10335,0.111,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A04,11276,0.116,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.033
S1L1,A04,12217,0.123,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.039999999999999994
S1L1,A04,13158,0.132,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.049
S1L1,A04,16951,0.265,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.182
S1L1,A04,17902,0.297,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.21399999999999997
S1L1,A04,18853,0.357,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.27399999999999997
S1L1,A04,19803,0.172,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.08899999999999998
S1L1,A04,20764,0.179,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.09599999999999999
S1L1,A04,21715,0.18,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.09699999999999999
S1L1,A04,38949,0.544,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.461
S1L1,A04,39920,0.566,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.48299999999999993
S1L1,A04,40891,0.588,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.505
S1L1,A04,41862,0.608,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.525
S1L1,A04,42833,0.631,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.548
S1L1,A04,43803,0.65,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.5670000000000001
S1L1,A04,44774,0.672,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.5890000000000001
S1L1,A04,45745,0.692,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.609
S1L1,A04,46726,0.711,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.628
S1L1,A04,47707,0.729,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.646
S1L1,A04,48678,0.748,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.665
S1L1,A04,49658,0.765,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.682
S1L1,A04,50639,0.779,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.6960000000000001
S1L1,A04,51620,0.79,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.7070000000000001
S1L1,A04,52601,0.799,Sodium Fluoride,H2O,SR1_results_DRUGPLATES_2019-07-02,0.7160000000000001
S1L1,A05,0,0.084,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A05,938,0.085,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A05,1878,0.086,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.001999999999999988
S1L1,A05,2809,0.088,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A05,3750,0.09,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A05,4691,0.092,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A05,5631,0.094,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.009999999999999995
S1L1,A05,6572,0.097,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A05,7513,0.099,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A05,8454,0.103,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.01899999999999999
S1L1,A05,9395,0.108,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A05,10335,0.115,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.031
S1L1,A05,11276,0.118,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.03399999999999999
S1L1,A05,12217,0.125,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.040999999999999995
S1L1,A05,13158,0.13,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.046
S1L1,A05,16951,0.193,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.109
S1L1,A05,17902,0.246,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.16199999999999998
S1L1,A05,18853,0.281,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.197
S1L1,A05,19803,0.163,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.079
S1L1,A05,20764,0.167,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.083
S1L1,A05,21715,0.169,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.085
S1L1,A05,38949,0.627,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.543
S1L1,A05,39920,0.665,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.5810000000000001
S1L1,A05,40891,0.707,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.623
S1L1,A05,41862,0.741,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.657
S1L1,A05,42833,0.779,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.6950000000000001
S1L1,A05,43803,0.814,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.73
S1L1,A05,44774,0.845,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.761
S1L1,A05,45745,0.873,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.789
S1L1,A05,46726,0.891,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.807
S1L1,A05,47707,0.897,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.8130000000000001
S1L1,A05,48678,0.901,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.8170000000000001
S1L1,A05,49658,0.903,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.8190000000000001
S1L1,A05,50639,0.908,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.8240000000000001
S1L1,A05,51620,0.911,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.8270000000000001
S1L1,A05,52601,0.915,5-Fluorocytosine,H2O,SR1_results_DRUGPLATES_2019-07-02,0.8310000000000001
S1L1,A06,0,0.082,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A06,938,0.083,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A06,1878,0.084,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0020000000000000018
S1L1,A06,2809,0.086,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.00399999999999999
S1L1,A06,3750,0.087,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A06,4691,0.088,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A06,5631,0.09,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A06,6572,0.091,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A06,7513,0.093,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A06,8454,0.095,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A06,9395,0.097,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.015
S1L1,A06,10335,0.098,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.016
S1L1,A06,11276,0.102,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.01999999999999999
S1L1,A06,12217,0.106,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.023999999999999994
S1L1,A06,13158,0.11,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.027999999999999997
S1L1,A06,16951,0.132,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.05
S1L1,A06,17902,0.149,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.06699999999999999
S1L1,A06,18853,0.177,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.09499999999999999
S1L1,A06,19803,0.208,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.126
S1L1,A06,20764,0.246,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.16399999999999998
S1L1,A06,21715,0.284,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.20199999999999996
S1L1,A06,38949,0.347,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.26499999999999996
S1L1,A06,39920,0.339,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.257
S1L1,A06,40891,0.354,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.27199999999999996
S1L1,A06,41862,0.372,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.29
S1L1,A06,42833,0.39,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.308
S1L1,A06,43803,0.403,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.321
S1L1,A06,44774,0.419,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.33699999999999997
S1L1,A06,45745,0.441,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.359
S1L1,A06,46726,0.46,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.378
S1L1,A06,47707,0.477,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.39499999999999996
S1L1,A06,48678,0.495,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.413
S1L1,A06,49658,0.515,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.433
S1L1,A06,50639,0.535,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.453
S1L1,A06,51620,0.558,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.47600000000000003
S1L1,A06,52601,0.58,Azaserine*,H2O,SR1_results_DRUGPLATES_2019-07-02,0.49799999999999994
S1L1,A07,0,0.081,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0
S1L1,A07,938,0.082,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0010000000000000009
S1L1,A07,1878,0.084,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0030000000000000027
S1L1,A07,2809,0.085,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0040000000000000036
S1L1,A07,3750,0.086,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0049999999999999906
S1L1,A07,4691,0.087,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.0059999999999999915
S1L1,A07,5631,0.089,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.007999999999999993
S1L1,A07,6572,0.09,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.008999999999999994
S1L1,A07,7513,0.092,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.010999999999999996
S1L1,A07,8454,0.094,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.012999999999999998
S1L1,A07,9395,0.097,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.016
S1L1,A07,10335,0.102,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.02099999999999999
S1L1,A07,11276,0.107,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.025999999999999995
S1L1,A07,12217,0.113,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.032
S1L1,A07,13158,0.121,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.039999999999999994
S1L1,A07,16951,0.246,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.16499999999999998
S1L1,A07,17902,0.309,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.22799999999999998
S1L1,A07,18853,0.377,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.296
S1L1,A07,19803,0.391,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.31
S1L1,A07,20764,0.165,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.084
S1L1,A07,21715,0.184,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.103
S1L1,A07,38949,0.653,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.5720000000000001
S1L1,A07,39920,0.682,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6010000000000001
S1L1,A07,40891,0.713,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.632
S1L1,A07,41862,0.739,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.658
S1L1,A07,42833,0.771,H2O control ,H2O C,SR1_results_DRUGPLATES_2019-07-02,0.6900000000000001
