"","well","sample","solvent","control","control2","auc","run","plate","A","mu","lambda"
"70","F10","methylmethane sulfonate","H2O-2","case-2","case",30996.878,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.048,5.23391485573062e-05,16026.3651546849
"71","F11","Hygromycin B","H2O-2","case-2","case",30939.92,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.075,3.93431463870595e-05,12779.0908014113
"72","F12","Thiourea","H2O-2","case-2","case",32409.583,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.097,4.83419877213426e-05,14893.6360965913
"73","G01","Propiconazole","ETOH","case","case",15694.288,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.381,1.40840989974814e-05,6041.82103984374
"74","G02","Sodium metasilicate","H2O","case","case",26292.055,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.706,2.40386712117128e-05,5259.71030608892
"75","G03","Dequalinium Chloride","H2O","case","case",28769.8875,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.965,3.40684288886128e-05,13178.2922719768
"76","G04","Hydroxyurea","H2O","case","case",23952.1105,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.893,3.90512673271961e-05,19779.0846921457
"77","G05","Cycloheximide","DMSO","case","case",16740.2955,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.28,4.98510250495155e-05,674.223015232134
"78","G06","4-Aminopyridine","H2O","case","case",25736.721,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.229,6.00312116306755e-05,27842.1269988797
"79","G07","Propiconazole","ETOH-2","case-2","case",10868.47,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.261,6.56100787005698e-06,6935.68607733471
"80","G08","Sodium metasilicate","H2O-2","case-2","case",22523.926,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.683,1.90713088692747e-05,4997.13027023901
"81","G09","Dequalinium Chloride","H2O-2","case-2","case",29004.7435,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.976,5.43298632514387e-05,16682.8494611594
"82","G10","Hydroxyurea","H2O-2","case-2","case",25301.7195,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.895,3.42732236565602e-05,15938.1132603606
"83","G11","Cycloheximide","DMSO-2","case-2","case",8161.5315,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.17,5.46350349527536e-06,13666.5595587063
"84","G12","4-Aminopyridine","H2O-2","case-2","case",17437.983,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.767,4.90448512032221e-05,31050.1729184149
"85","H01","Miconazole Nitrate","DMSO","case","case",27397.5015,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.974,4.29549905794032e-05,18728.5218115894
"86","H02","Guanidine hydrochloride","DMSO","case","case",29158.452,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.001,4.32107269806701e-05,16142.6811988651
"87","H03","2-Deoxy-D-glucose","H2O","case","case",24126.0455,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.866,3.26610640070567e-05,16576.2606544691
"88","H04","5-Fluorouracil","DMSO","case","case",16297.901,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.344,3.53442491458103e-05,680.361686341925
"89","H05","Copper(II) sulfate","H2O","case","case",7111.5335,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.059,2.32573093492658e-06,739.193536630677
"90","H06","Benzamidine","H2O","case","case",30816.592,"SR1_results_DRUGPLATES_2019-07-02","S2L2",1.048,4.46930050096672e-05,15320.7883126647
"91","H07","Miconazole Nitrate","DMSO-2","case-2","case",29143.294,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.983,4.05047859170474e-05,18228.860737095
"92","H08","Guanidine hydrochloride","DMSO-2","case-2","case",28670.6525,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.999,5.51722722606585e-05,17949.9903288863
"93","H09","2-Deoxy-D-glucose","H2O-2","case-2","case",24810.092,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.87,7.78357658538523e-05,19163.3347212944
"94","H10","5-Fluorouracil","DMSO-2","case-2","case",10025.6935,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.304,1.1320393019496e-05,24780.8086767436
"95","H11","Copper(II) sulfate","H2O-2","case-2","case",12807.5075,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.255,9.56219546198184e-06,8856.84524761772
"96","H12","Benzamidine","H2O-2","case-2","case",22228.627,"SR1_results_DRUGPLATES_2019-07-02","S2L2",0.769,3.22844428450726e-05,17476.4700540926
