"","well","BYauc","BYmu","sample","solvent","control","control2","auc","run","plate","A","mu","lambda","rel_fitness","rel_max_GR","DT","BYrel_auc","BYrel_mu","con_rel_auc","con_rel_mu"
"12","A12",10294.7475,4.62450002002478e-05,"Azaserine*","H2O-2",2,"case",11054.347,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.451,2.67237847156255e-05,29067.4114982475,0.916924054420646,0.879414068292751,7.20485086741078,1.07378515111711,0.577874031785221,0.102850308094644,0.862057571471792
"13","B01",16530.4625,3.39962849627608e-05,"DMSO control","DMSO",1,"DMSO",4601.7125,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.244,1.63640754099176e-05,36643.4341131301,1,1,11.766071633487,0.278377722341405,0.481348930562344,0.0428146093467098,0.527873400319923
"14","B02",1605.6765,1.4166187113442e-06,"Compound 48/80*","H2O",1,"case",8793.9915,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.235,1.48820640184933e-05,3951.20658778614,0.967190765639904,0.700109566949555,12.9377808917911,5.47681397840723,10.5053419803921,0.081819824830601,0.480066581241718
"15","B03",16281.95,3.84198766161965e-05,"EDTA","DMSO",1,"case",12044.3495,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.503,2.7770533710631e-05,30231.4596834781,2.61736244930556,1.6970426385227,6.93327991082743,0.73973630308409,0.722816837441999,0.112061350785765,0.89582366808487
"16","B04",16524.2975,3.70217468633366e-05,"Tartaric acid","H2O",1,"case",12495.6735,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.541,2.47292297786487e-05,27469.5462769756,1.37431336153228,1.16335814237941,7.78596362330356,0.756199983690683,0.667964963131941,0.116260496375324,0.797717089633828
"17","B05",6344.915,2.6432090798321e-05,"6-Azauracil","DMSO",1,"case",3235.451,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.142,6.71610835056791e-06,31463.8032872798,0.703097162197769,0.410417831886643,28.6685195411704,0.509928186587212,0.254089182797243,0.0301028303322778,0.216648656469933
"18","B06",1014.7835,1.61962641906687e-06,"DTT","H2O",1,"case",9077.039,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.256,1.3814316262237e-05,4761.91412198956,0.998321217407735,0.649878603131967,13.9377787386558,8.94480349749479,8.52932262626092,0.0844533157623058,0.445623105233451
"19","B07",9647.562,2.90517982647816e-05,"DMSO control","DMSO-2",2,"DMSO",5435.275,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.256,8.44531077671861e-06,22294.3203641338,1,1,22.7985551484565,0.563383267192271,0.290698382927866,0.050570124886537,0.272429379894149
"20","B08",942.067,1.27627633369558e-06,"Compound 48/80*","H2O-2",2,"case",8704.956,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.238,1.44011374367242e-05,3630.56635701967,0.72204930323549,0.473906035243117,13.3698386210715,9.24027271945626,11.2837142368881,0.0809914331936856,0.464552820539491
"21","B09",17232.0435,5.86496421401628e-05,"EDTA","DMSO-2",2,"case",12115.1655,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.506,3.75285587667861e-05,31701.0010856549,2.22898850564139,4.44371554333346,5.13051632718915,0.703060289976635,0.639877029037946,0.11272022710094,1.21059866989633
"22","B10",17034.916,6.82673128746087e-05,"Tartaric acid","H2O-2",2,"case",11757.785,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.488,2.55030457542465e-05,27836.7360477306,0.975272071087171,0.839242549633491,7.5497211330852,0.690216787684776,0.37357623554174,0.10939513747493,0.822678895298274
"23","B11",9231.6925,2.65186001714656e-05,"6-Azauracil","DMSO-2",2,"case",11954.2165,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.284,6.60442120236095e-05,3113.06236499595,2.19937657248253,7.82022281591758,2.91533319255961,1.29491060279575,2.49048636038768,0.111222747942965,2.1304584523745
"24","B12",870.1125,1.08349568645133e-06,"DTT","H2O-2",2,"case",8079.7975,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.24,1.28696026043715e-05,3636.44642775993,0.670194330121697,0.423506988402125,14.9609035653884,9.28592279733942,11.8778531057397,0.0751749209806181,0.415148471108758
"25","C01",13120.565,2.6721802578079e-05,"ETOH control ","ETOH",1,"ETOH",12061.181,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.481,1.72480924830888e-05,23035.4653713055,1,1,11.1630247621674,0.919257745379105,0.645468898765015,0.112217952072182,0.556390080099638
"26","C02",15790.2725,3.83555145236265e-05,"Caffeine","H2O",1,"case",12241.947,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.493,3.04894308780575e-05,29152.2262216759,1.34640772530348,1.43434017096349,6.31500418157824,0.775284087085894,0.79491648741347,0.113899809787797,0.983530028324435
"27","C03",15804.344,3.18706213268191e-05,"Chlorpromazine hydrochloride ","H2O",1,"case",13074.4195,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.519,2.728195067637e-05,26800.771159154,1.43796566172509,1.28344795787986,7.05744562670298,0.827267458870801,0.856021926796018,0.12164518390219,0.880062925044192
"28","C04",483.418,1.17753071668407e-06,"Sodium Orthovanadate","H2O",1,"case",19017.23,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.719,2.53489150059452e-05,9855.31827665387,2.09157459886676,1.192510520409,7.59562622083493,39.3391019779984,21.5271794160307,0.176937449548734,0.817706935675653
"29","C05",16060.476,5.42677123142887e-05,"Blasticidin hydrochloride","H2O",1,"case",12364.1575,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.556,2.35213181303035e-05,27255.1384914661,1.35984881938052,1.10653332963936,8.18580329649192,0.769850003200403,0.433431171634452,0.11503686361625,0.758752197751727
"30","C06",864.582,1.9311540231053e-06,"Diamide","H2O",1,"case",9190.428,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.286,1.22319313642724e-05,5474.19559743773,1.01079209524804,0.575437127521808,15.7408407351971,10.6299090196187,6.33400092272465,0.0855082938251931,0.394578431105561
"31","C07",13734.813,3.80588744543182e-05,"ETOH control ","ETOH-2",2,"ETOH",11381.9,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.498,3.06407411234088e-05,32188.4820742693,1,1,6.2838193995829,0.828689840917383,0.805087947626686,0.105897880870071,0.988411003980928
"32","C08",16126.303,6.91404643934336e-05,"Caffeine","H2O-2",2,"case",12269.227,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.521,2.75944880025712e-05,28948.9602363415,1.01769461058598,0.908066773289323,6.97751244636006,0.76082081553348,0.399107646219279,0.11415362454545,0.890144774276489
"33","C09",16089.416,6.54044467697354e-05,"Chlorpromazine hydrochloride ","H2O-2",2,"case",12145.9375,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.495,3.23283451463933e-05,29789.1940356263,1.0074681260901,1.06384637613619,5.95579150794715,0.754902322122817,0.494283596040638,0.113006531636223,1.04284984343204
"34","C10",537.3935,1.34170664548094e-06,"Sodium Orthovanadate","H2O-2",2,"case",25313.815,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.764,3.95448761107539e-05,6022.50707915168,2.09970302928379,1.30132467203858,4.8689211454253,47.1048030912172,29.4735635721466,0.235521254380817,1.27564116486303
"35","C11",16049.6135,5.08634032917521e-05,"Blasticidin hydrochloride","H2O-2",2,"case",8874.703,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.379,1.65569670422865e-05,28823.7718299812,0.73612929434358,0.544849088562392,11.6289947909617,0.552954312575814,0.325518269930069,0.0825707694718159,0.5340957110415
"36","C12",794.998,1.69559239378417e-06,"Diamide","H2O-2",2,"case",8477.592,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.242,1.25206967841735e-05,4613.14972949023,0.70319015934311,0.412025355465159,15.3778089836223,10.6636645626781,7.38426099932556,0.0788760248887327,0.403893444650758
"37","D01",312.277,6.73647385170598e-07,"Nystatin ","DMSO",1,"case",3822.8435,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.175,5.16612092920415e-06,16707.3633638194,0.830743663364454,0.315698919724678,37.2699141439833,12.241834973437,7.66887995549163,0.0355679654142037,0.166649062232392
"38","D02",10154.8015,3.08121029232618e-05,"Triclosan","DMSO",1,"case",8197.806,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.359,1.74106873011057e-05,31987.4808626251,1.78146852937901,1.0639578995434,11.0587755761167,0.807283726816324,0.565060013737699,0.0762728791488199,0.561635074229217
"39","D03",695.08,1.42318134757506e-06,"Menadione ","ETOH",1,"case",10327.6275,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.301,1.47044101924329e-05,5746.25793326324,0.856270003741756,0.852523849048821,13.0940908862811,14.8581853887322,10.3320706229656,0.0960888662407392,0.474335812659125
"40","D04",14929.363,3.32421201155514e-05,"Trifluoperazine","H2O",1,"case",13903.1695,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.567,1.62365579081238e-05,17685.8052979932,1.52911418592187,0.763830172460098,11.8584791541647,0.931263410233913,0.488433284389944,0.129355923653116,0.523759932520123
"41","D05",14332.8085,3.29797181122227e-05,"3-Amino-1,2,4- triazole","H2O",1,"case",10720.7385,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.691,4.70706281209003e-05,37926.9324592573,1.17910044352899,2.21438350411716,4.09046769026185,0.747985888460032,1.42725986804161,0.0997463945836973,1.51840735873872
"42","D06",14778.591,5.0474251661346e-05,"Sodium Selenate","H2O",1,"case",12846.0495,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.583,4.22409089487744e-05,33177.1169372614,1.41284881289152,1.98717492647073,4.55816146670442,0.869233711116303,0.836880341132888,0.119520415712845,1.3626099660895
"43","D07",178.8415,5.70714954062676e-07,"Nystatin ","DMSO-2",2,"case",7770.461,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.196,3.36180494407817e-05,2916.1140811033,1.42963529904191,3.98067641672315,5.72730680963615,43.4488695297232,58.9051490616623,0.0722968356147509,1.08445320776715
"44","D08",10401.5775,3.03024351492844e-05,"Triclosan","DMSO-2",2,"case",8318.7505,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.351,1.03489527873936e-05,18690.5248540738,1.53051142766465,1.22540816566784,18.6048663516383,0.799758546239741,0.341522149504147,0.0773981540372736,0.333837186690117
"45","D09",589.598,1.15137883700653e-06,"Menadione ","ETOH-2",2,"case",9562.1825,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.269,1.39610899774355e-05,4993.44844319091,0.840121816216976,0.455638129678578,13.7912500958068,16.218139308478,12.1255398559634,0.088967120010093,0.450357741207596
"46","D10",14927.1425,3.07407177726128e-05,"Trifluoperazine","H2O-2",2,"case",12932.68,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.523,1.43214871192949e-05,14543.0532965361,1.07272599459062,0.471284939075913,13.4441962545544,0.866386852004662,0.4658800495561,0.120326431085386,0.461983455461127
"47","D11",13094.7915,3.32183753797296e-05,"3-Amino-1,2,4- triazole","H2O-2",2,"case",9509.384,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.531,2.19178614890244e-05,28286.8043353193,0.788774129518715,0.721262947799075,8.78465645862807,0.726195907739348,0.65981136158751,0.0884758795965313,0.707027789968529
"48","D12",13233.194,2.19455693694614e-05,"Sodium Selenate","H2O-2",2,"case",11711.3275,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.512,3.49556616342384e-05,30396.6462011684,0.971418564474953,1.15030490384306,5.50814587644034,0.884996282832399,1.592834573838,0.108962894106027,1.12760198820124
"49","E01",11344.999,2.8867807235991e-05,"Myclobutanil","ETOH",1,"case",10321.9535,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.459,4.44472191322386e-05,34961.4916093021,0.855799568881356,2.5769353437673,4.33189943595862,0.909824099587845,1.53968116694447,0.0960360750041217,1.43378126233028
"50","E02",6011.667,3.35429821016033e-05,"Miltefosine","DMSO",1,"case",1173.281,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.063,2.95683893178661e-06,30994.8603788533,0.254966167486561,0.180690864452665,65.1171362156459,0.195167330459255,0.0881507470871314,0.0109162768575649,0.0953819010253746
"51","E03",14846.564,3.16163663206173e-05,"Poly-L-lysine hydrochloride","H2O",1,"case",10301.3035,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.363,1.46813392559667e-05,3190.49910601249,1.132969666761,0.69066670160548,13.1146675471465,0.693851014955379,0.464358842097324,0.0958439461644757,0.473591588902152
"52","E04",14735.13,5.24391925488546e-05,"Pentamidine Isethionate","H2O",1,"case",12329.6545,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.507,3.91064388089044e-05,33374.6424520007,1.35605407122926,1.83971738768352,4.92350848998894,0.836752339477154,0.745748302140068,0.114715845632991,1.26149802609369
"53","E05",3523.0275,9.44840958799376e-06,"Thialysine","H2O",1,"case",10591.618,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.38,1.37889929490423e-05,5326.66587675275,1.16489936598021,0.648687297019294,13.9633752950933,3.00639662903568,1.45939830620428,0.0985450497004279,0.444806224162656
"54","E06",15560.225,2.96979536469514e-05,"Urea hydrogen peroxide","H2O",1,"case",9033.4595,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.524,3.00366117121034e-05,32187.8465700088,0.993528207319971,1.41303781466475,6.41020649513834,0.580548128320767,1.01140341416038,0.0840478494781725,0.968922958454948
"55","E07",3526.037,2.35875436977333e-05,"Myclobutanil","ETOH-2",2,"case",11621.8375,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.516,2.02383823267479e-05,22446.4519335079,1.02108061922878,0.660505640031217,9.51364987479277,3.29600554390099,0.858011439685971,0.108130273773827,0.652851042798321
"56","E08",2027.81,1.407924934559e-05,"Miltefosine","DMSO-2",2,"case",14009.6965,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.387,5.42123893046542e-05,9377.57655363659,2.57755062991293,6.41922964565173,3.55160298150415,6.90878164127803,3.85051702501703,0.130347057256069,1.74878675176304
"57","E09",15097.575,3.24343988869505e-05,"Poly-L-lysine hydrochloride","H2O-2",2,"case",9577.7245,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.31,1.26539533376652e-05,4861.19794572326,0.794442763617241,0.416410501097777,15.2158679861546,0.634388270964045,0.390139906146258,0.0891117237110993,0.408192043150489
"58","E10",13584.7465,2.79184997391256e-05,"Pentamidine Isethionate","H2O-2",2,"case",11789.897,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.513,2.89401358265674e-05,29843.6629130805,0.977935662634962,0.952348735593034,6.653074631119,0.867877586085247,1.03659351673579,0.109693909450655,0.933552768598948
"59","E11",1473.287,3.55399798266492e-06,"Thialysine","H2O-2",2,"case",10060.698,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.404,2.66247822919892e-05,37433.1670060095,0.83450392867726,0.876156141877485,7.23164161033554,6.82874280435516,7.4915018021549,0.0936053381486186,0.858863944902876
"60","E12",14263.4975,2.7845779744303e-05,"Urea hydrogen peroxide","H2O-2",2,"case",11683.366,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.525,2.7691238418909e-05,28330.8857310764,0.96909924412544,0.911250591679796,6.95313371602034,0.819109478583356,0.994450098836767,0.108702738631462,0.893265755448676
"61","F01",9179.105,2.85364454450821e-05,"Fluconazole","DMSO",1,"case",8279.6915,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.377,1.12478624792983e-05,18899.454092426,1.79926310042185,0.687350931692814,17.1179976500642,0.902015120210522,0.394157797296256,0.0770347467565116,0.362834273525753
"62","F02",1971.6365,1.32668038871368e-05,"Cinnamic acid","DMSO",1,"case",5823.215,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.249,5.61493406783212e-06,7394.80022882758,1.2654452011072,0.34312565343161,34.2908538484784,2.95349320222059,0.423231858675189,0.0541795419350733,0.181126905413939
"63","F03",323.227,5.31450920341912e-07,"CCCP","DMSO",1,"case",8576.4105,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.302,9.95670370367511e-06,5827.25626506742,1.86374322602727,0.608448901282914,19.3378139210676,26.5337069613615,18.7349448887386,0.0797954381449342,0.321183990441133
"64","F04",16169.21,5.02697738569051e-05,"methylmethane sulfonate","H2O",1,"case",12648.75,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.524,2.88959690400744e-05,28575.949216915,1.39114919509392,1.35937759346384,6.66324369402003,0.782273840218539,0.574817963620204,0.117684729320703,0.932128033550786
"65","F05",15485.4155,3.23427012843538e-05,"Hygromycin B","H2O",1,"case",10281.2315,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.304,1.4904378841411e-05,5778.61862547596,1.13076208524947,0.701159342101044,12.9184104575972,0.663929973335233,0.460826654841635,0.0956571950715277,0.480786414239064
"66","F06",15805.587,3.09811618335046e-05,"Thiourea","H2O",1,"case",14210.684,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.618,3.34386645617944e-05,28750.5092612896,1.56293559508521,1.57308347394809,5.75803148875935,0.899092453826612,1.07932248446642,0.132217057021607,1.07866659876756
"67","F07",9507.3705,3.05073442855577e-05,"Fluconazole","DMSO-2",2,"case",3109.9265,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.153,8.9056958511812e-06,31158.0804148386,0.57217463697789,1.05451369246609,21.6199707138366,0.327106900903883,0.291919734730801,0.0289349428488808,0.287280511328426
"68","F08",1603.017,1.46560227873538e-05,"Cinnamic acid","DMSO-2",2,"case",8737.116,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.206,4.96632277440435e-05,4764.16823768251,1.60748370597624,5.880568407376,3.87693052254274,5.45042005169003,3.38858832744832,0.0812906517642917,1.60203960464657
"69","F09",420.3925,1.0721436018539e-06,"CCCP","DMSO-2",2,"case",1571.7005,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.06,1.38355428745425e-06,3218.25371581899,0.289166693497569,0.163825147946991,139.163952751829,3.73865019000101,1.29045613391887,0.014623195803199,0.044630783466266
"70","F10",14463.518,3.14005580221963e-05,"methylmethane sulfonate","H2O-2",2,"case",12133.4225,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.547,2.95355933226741e-05,28412.7244847265,1.00643004536575,0.9719437781635,6.5189441561366,0.838898427063181,0.940607275252757,0.112890091324932,0.952761074924972
"71","F11",14184.746,3.18822047247369e-05,"Hygromycin B","H2O-2",2,"case",9484.287,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.281,1.39342126296969e-05,4905.93231285205,0.786692410626247,0.458540687538655,13.817851686756,0.668625789985947,0.437052981435928,0.0882423756019262,0.449490729990221
"72","F12",14299.5225,3.08547900440391e-05,"Thiourea","H2O-2",2,"case",8705.3785,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.476,3.33838206462696e-05,32104.8415343911,0.722084348309884,1.09857948049273,5.76749095105113,0.608788055685076,1.08196557483038,0.0809953641590488,1.07689744020224
"73","G01",3266.058,3.84973406218049e-06,"Propiconazole","ETOH",1,"case",11078.548,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.455,6.99061363421861e-05,44054.4808248423,0.918529288301038,4.05297782411168,2.75427728613692,3.39202426901176,18.1586923182406,0.103075475651461,2.25503665619955
"74","G02",3996.911,8.52451142665047e-06,"Sodium metasilicate","H2O",1,"case",30548.296,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.898,3.60840185245064e-05,3985.96402632644,3.35979740226431,1.69753110533586,5.33590468473211,7.64297628843875,4.23297204009788,0.284223179837432,1.16400059756472
"75","G03",3128.673,4.35532937915323e-06,"Dequalinium Chloride","H2O",1,"case",9993.9365,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.321,1.48555093179345e-05,3806.84723238689,1.09916448011026,0.698860331636121,12.9609075911269,3.19430522141496,3.4108807910236,0.09298418514484,0.479209977997887
"76","G04",11432.324,2.95884204355338e-05,"Hydroxyurea","H2O",1,"case",3434.232,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.126,3.61796142536278e-06,4367.03135723229,0.377707606092758,0.170202829634608,53.2180586943563,0.300396664755128,0.122276261189592,0.0319523006893564,0.116708433076219
"77","G05",574.674,1.52111373665673e-06,"Cycloheximide","DMSO",1,"case",13026.609,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.331,2.64684509881175e-05,1712.35598165457,2.83081765755683,1.61747305149156,7.27435404419063,22.6678238444753,17.4007047272432,0.121200352140064,0.853820999616692
"78","G06",3429.519,6.65759219213938e-06,"4-Aminopyridine","H2O",1,"case",16653.1535,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.663,2.75224330123147e-05,14922.5425508229,1.8315660509774,1.29476117248961,6.99577989354077,4.85582774144129,4.13399202264302,0.154941939874187,0.887820419752086
"79","G07",2328.444,2.86814403636781e-06,"Propiconazole","ETOH-2",2,"case",11559.1675,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.479,3.06950926493913e-05,35715.7579838551,1.0155745086497,1.00177383196326,6.27269269678167,4.96433133027893,10.7020750214007,0.107547188331667,0.990164279012624
"80","G08",1995.9275,5.44684331789344e-06,"Sodium metasilicate","H2O-2",2,"case",24886.879,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.852,3.09625237079605e-05,6570.38978449772,2.06429000234532,1.01890054976784,6.21851388165014,12.4688291533635,5.68448951087787,0.2315490162073,0.998791087353564
"81","G09",3973.8555,6.91017207826183e-06,"Dequalinium Chloride","H2O-2",2,"case",10426.2255,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.378,2.42427843189831e-05,34739.7070870803,0.864823309578026,0.797770443504398,7.94219347726103,2.6237052404145,3.5082750537062,0.0970062279517037,0.782025300612359
"82","G10",11260.5265,3.56956781008941e-05,"Hydroxyurea","H2O-2",2,"case",9189.809,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.285,1.13052871039365e-05,5451.95545519283,0.762266367034737,0.372029210348983,17.0310476610391,0.816108287654223,0.316713050582259,0.0855025346120337,0.364686680772146
"83","G11",494.175,1.44948246966639e-06,"Cycloheximide","DMSO-2",2,"case",7039.0535,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.247,8.73577998556441e-06,5158.54534556258,1.29506851079292,1.03439414090557,22.0404913822282,14.2440501846512,6.02682693194285,0.0654917763274196,0.281799354373045
"84","G12",2566.064,6.76148490924383e-06,"4-Aminopyridine","H2O-2",2,"case",18145.3515,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.597,2.18101995392594e-05,6281.48383010011,1.50510104905045,0.717720057663915,8.8280202637436,7.07127784030328,3.22565232815088,0.168825439644749,0.703554823847079
"85","H01",10704.612,3.32183341013043e-05,"Miconazole Nitrate","DMSO",1,"case",5335.6965,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.239,1.07881189143959e-05,30452.9987420908,1.15950235917607,0.659256245412903,17.8474936192948,0.498448379072497,0.324763995734882,0.0496436405447118,0.348003835948254
"86","H02",14242.8425,2.93787943183991e-05,"Guanidine hydrochloride","DMSO",1,"case",13387.2265,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.553,1.69586352860822e-05,18687.0541544983,2.90918359197799,1.03633323981166,11.3535600147548,0.939926598219421,0.577240682591986,0.124555559008396,0.547052751163943
"87","H03",7868.132,1.69929991200625e-05,"2-Deoxy-D-glucose","H2O",1,"case",11599.4895,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.44,2.89544388333798e-05,34729.0443815249,1.2757482345232,1.36212823756938,6.64978812391642,1.47423676928653,1.70390398003347,0.107922346640248,0.934014155915479
"88","H04",750.944,1.74549666059484e-06,"5-Fluorouracil","DMSO",1,"case",4327.372,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.18,4.59740340443009e-06,12049.9434277372,0.940382955258504,0.280944892348992,41.8803543111618,5.76257617079302,2.63386548265487,0.0402621288656974,0.148303335626777
"89","H05",773.985,1.6660964192996e-06,"Copper(II) sulfate","H2O",1,"case",2807.7265,"SR1_results_DRUGPLATES_2019-07-02","S1L2",0.106,4.94824827070197e-06,7569.89045865373,0.308802566302509,0.232784642617791,38.9109181584293,3.62762392036021,2.96996513129903,0.0261232559074268,0.159620911958128
