"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"22","EDTA",16756.99675,0.714,4.85347593781797e-05,18976.3417997734,4.14719550155845,1.3855608199676,1.57445772090953,0.164249419118393,0.808912656302994,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"23","ETOH control ",13427.689,0.7235,3.23903385161986e-05,19915.4664145331,6.13220628189487,1,1,0.131616073647113,0.539838975269977,NA,NA,NA,NA,"ETOH","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"24","Fluconazole",9343.23775,0.6025,2.95218948653199e-05,29322.9201472219,6.52924418177132,0.77037646683899,0.944750344783566,0.0915809315963818,0.492031581088665,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"25","Guanidine hydrochloride",13999.2,0.6615,3.00024434872607e-05,21828.0168873611,6.42028084231941,1.14370922494151,0.959182917178522,0.137217933644476,0.500040724787678,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"26","H2O control ",16366.8815,0.7225,4.53655272708529e-05,18385.5985471853,4.50318560176269,1,1,0.160425571435083,0.756092121180882,NA,NA,NA,NA,"H2O","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"27","Hydroxyurea",11346.42525,0.586,3.26420492682139e-05,13998.0504405504,5.95063015212685,0.694063968166525,0.74631192127228,0.111215857124444,0.544034154470232,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"28","Hygromycin B",14835.08075,0.685,3.21124530045453e-05,22524.5207124891,5.99614057689093,0.908471666748026,0.752344027932036,0.145411103917649,0.535207550075755,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"29","Menadione ",642.339,0.019,1.2872800922908e-06,306.824990312615,151.257712240425,0.0479518226319549,0.0417558769781501,0.00629610479736409,0.0214546682048466,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"30","methylmethane sulfonate",15316.364,0.685,4.08351659395507e-05,17483.5690605581,4.98095923576515,0.938283620092133,1.00797748275201,0.150128565848523,0.680586098992511,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"31","Miconazole Nitrate",10404.982,0.649,3.31291344720459e-05,29120.1807201031,5.81187170705384,0.847510090355886,1.05719667321513,0.101987980002284,0.552152241200765,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"32","Miltefosine",4019.7385,0.1045,2.38111157235967e-05,2039.25108807186,9.70781597598334,0.286930446374692,0.735645924932324,0.0394008379593939,0.396851928726611,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"33","Myclobutanil",7435.518,0.4135,2.62276754668622e-05,33223.9209730267,7.41628220219103,0.560697830165707,0.850036871711125,0.0728817657820668,0.437127924447703,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"34","Nystatin ",245.55925,0.00700000000000001,6.22181169616637e-07,939,311.593179432589,0.0187142416369286,0.0197300305681869,0.00240693274417734,0.0103696861602773,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"35","Pentamidine Isethionate",14159.93825,0.6395,4.01788461439901e-05,17383.0648625554,5.28411606297938,0.867042109839125,1.00847617313068,0.138793464426423,0.669647435733168,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"36","Poly-L-lysine hydrochloride",14972.0695,0.688,3.20253826037839e-05,22262.5730805993,6.01311457236825,0.915399165413366,0.746722138929551,0.146753845874871,0.533756376729732,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"37","Propiconazole",2797.251,0.113,3.35893904927415e-06,7260.52454404991,58.5724508126144,0.209227627753642,0.109713935377177,0.0274182097623397,0.0559823174879025,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"38","Sodium Fluoride",15682.57225,0.7225,5.20726017648885e-05,13189.5847601809,4.71225424345084,0.956798539496725,1.08235616958972,0.153718080917139,0.867876696081475,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"39","Sodium metasilicate",2996.41925,0.094,6.98567737227196e-06,3011.29496994131,28.9679061362935,0.185119513211807,0.172013372472676,0.0293704252969835,0.116427956204533,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"40","Sodium Orthovanadate",510.40575,0.0135,1.25961868108251e-06,283.445847254442,153.508432670241,0.0311639925088816,0.028999809554778,0.00500291604772124,0.0209936446847084,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"41","Sodium Selenate",14005.8925,0.621,3.62099105154037e-05,15122.1250469399,6.29410045646588,0.85799044873273,0.926889779301799,0.137283532465903,0.603498508590061,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"42","Tamoxifen",3275.37275,0.261,2.12060917849004e-05,40079.4011149959,9.49333058792671,0.200319513115575,0.471139733265769,0.0321046831726403,0.353434863081673,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"43","Tartaric acid",16779.60675,0.7235,5.26445298689727e-05,18994.2517688259,4.01057365243724,1.02569851074121,1.14363691647569,0.164471038745208,0.877408831149544,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"44","Thialysine",2498.15725,0.135,6.50120378532934e-06,32081.376404799,37.2769912054605,0.154693308184815,0.168581595815758,0.0244865403568752,0.108353396422156,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"45","Thiourea",15052.55475,0.6805,3.09179759387718e-05,16770.9781661551,6.22749975713335,0.921963496395493,0.723470344313071,0.147542749504639,0.515299598979531,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"46","Triclosan",10278.1895,0.6515,3.05572690362731e-05,28347.1115696586,6.30142291330578,0.846232219188169,0.974692935887217,0.100745180067172,0.509287817271219,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"47","Trifluoperazine",14928.25275,0.694,3.19914189440821e-05,21778.6511111325,6.02772936922603,0.912956173226706,0.755236713368504,0.146324361054737,0.533190315734702,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
"48","Urea hydrogen peroxide",14911.86125,0.684,2.87718666956272e-05,19984.4532135098,6.69892462288883,0.913163580440147,0.678116489525747,0.146163694176677,0.479531111593787,NA,NA,NA,NA,"case","SR1_results_DRUGPLATES_2019-07-02","S1L1"
