"","compound","plate","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_auc","ave_rel_inhib_off_Plate","ave_rel_inhib","ave_rel_fit","ave_rel_fit_off_plate","ave_rel_fit_to_by"
"29","Menadione ","S1L1",0.03,2.38801105277332e-06,0,80.6634482584132,3974.0325,95.8984024283626,93.4922333024053,0.0549700188694601,0.0572099527343701,0.507984919586779
"30","methylmethane sulfonate","S1L1",0.55,2.61016307490154e-05,23781.3947977099,7.37716349477887,73052.80275,51.8631461375539,21.7463552869209,0.992030387736029,0.992993334721704,0.710976778621164
"31","Miconazole Nitrate","S1L1",0.679,4.3410107292603e-05,5610.50249701364,4.96295881269816,86070.46125,-66.369872051573,-11.5338584263209,1.09201983028314,1.23458459569885,0.822936232845824
"32","Miltefosine","S1L1",0.5425,2.58242515454122e-05,32512.0040809889,7.46304102450339,69107.79875,1.02817768962383,23.8415281861778,0.890764849519539,0.991274155387499,0.876621543172308
"33","Myclobutanil","S1L1",0.4805,1.74630583124179e-05,47431.838296555,13.0340513289589,56195.10725,70.0058182375694,51.6154125202913,0.771333641453558,0.808981665267045,0.75325996073737
"34","Nystatin ","S1L1",0.2975,5.41377412378472e-05,62648.5137322669,364.255789784358,29527.6405,-107.483686280512,-115.156013595992,0.407910208758339,0.423541010228216,1.16460873628705
"35","Pentamidine Isethionate","S1L1",0.5535,2.55735059425452e-05,23889.1551682099,7.52991319298035,72165.9155,52.8371184871991,22.8057361477221,0.981649914688728,0.980938039171806,0.696344735879221
"36","Poly-L-lysine hydrochloride","S1L1",0.576,2.60523058061719e-05,23922.0945320234,7.39131009337663,75974.65575,51.9541116250464,21.3958096678773,1.0323267412609,1.03270954607592,0.731331338526566
"37","Propiconazole","S1L1",0.0945,3.66786787002204e-06,35799.4686640448,53.6065829379091,11563.23425,93.7001472705506,90.0784823624456,0.160332569974698,0.166463682644505,0.933706759100873
"38","Sodium Fluoride","S1L1",0.1305,3.37595082375638e-06,102351.464387604,59.1291586880467,7839.08225,93.7740422040069,90.4887953324992,0.104518526791098,0.106555205708178,0.12749504034525
"39","Sodium metasilicate","S1L1",0.324,3.62783211129904e-05,12634.9804992302,24.3696408332201,21817.902,33.0952054841714,23.2263480090294,0.285490193117389,0.296566735950611,0.388637864586935
"40","Sodium Orthovanadate","S1L1",0.01,1.06112353270969e-06,237.687766900326,181.847371514892,1147.78625,98.0430667755893,96.7592899132497,0.015632624686931,0.0156016477538258,0.231805471228967
"41","Sodium Selenate","S1L1",0.382,1.26040532051277e-05,18782.1225334559,15.3897627732244,51439.247,76.7554957372687,63.1909755698631,0.698546015942392,0.699204239827792,0.653345475994286
"42","Tamoxifen","S1L1",0.7025,4.48917285456914e-05,22113.5087239225,4.34614067619998,92559.49475,17.2102847743312,-29.8038636919089,1.27120255476598,1.25814421749833,0.693331920181307
"43","Tartaric acid","S1L1",0.6035,2.56728180578183e-05,23800.0884503332,7.54506295888338,77638.0065,52.6539662226666,20.8001986944234,1.05812355370696,1.05531916741662,0.653882189727857
"44","Thialysine","S1L1",0.487,1.39207847150557e-05,38508.9246193789,14.1668653188621,55051.4375,74.3271680638388,60.2988616186387,0.744930147653498,0.748304082068206,0.890334672222127
"45","Thiourea","S1L1",0.4875,2.11022381591748e-05,35233.2681415279,9.2816641705066,59607.1045,61.0830693221323,33.7782530786942,0.815449057067079,0.810228427143544,0.681293805080501
"46","Triclosan","S1L1",0.569,2.45553222719553e-05,28577.601134276,7.84802020549225,74496.672,5.8913677168803,29.1712507540775,0.955627027832322,1.0685715208948,0.559738824854601
"47","Trifluoperazine","S1L1",0.576,2.59427998276279e-05,25793.1413476377,7.42474555059323,74193.29525,52.1560635006561,21.4659552988403,1.00814385414768,1.00849583987097,0.724928886534656
"48","Urea hydrogen peroxide","S1L1",0.542,2.52009259825083e-05,24255.7847117339,7.66617226959646,72595.42125,53.5242336816798,22.7454439354727,0.986170179172766,0.986776231970981,0.981175996918431
"49","2-Deoxy-D-glucose","S1L2",0.9905,4.59796357631592e-05,21125.9687045952,4.19934576696928,129565.871,-3.1303079354532,-14.782997814749,1.00799134282134,1.65872187777039,1.89528060462774
"50","3-Amino-1,2,4- triazole","S1L2",1.0325,3.55216556855422e-05,20589.5889515419,5.4242802139079,128172.93125,20.3264830522572,11.5951995711098,0.99659424217419,1.64088925240455,1.5068550906624
"51","4-Aminopyridine","S1L2",1.565,4.39525699014813e-05,7348.30381211582,4.47246167853921,196595.11075,1.41631195508074,-7.21367512317548,1.52944621756394,2.51684034342436,4.40711226847844
"52","5-Fluorocytosine","S1L2",0.8455,3.78300469259138e-05,17006.3424193435,5.11000966426425,121434.8165,15.1488626665434,6.83974955228236,0.944630454465953,1.55462688821489,1.31160958861478
"53","5-Fluorouracil","S1L2",0.836,3.21549490692397e-05,2778.7456246802,6.34609862066176,98404.999,3.23448364612152,15.4813499808974,0.953330059688588,1.31258396236166,8.72680026268366
"54","6-Azauracil","S1L2",0.9105,8.43334773048084e-05,3511.6791330272,2.3582617244394,119689.89275,-153.789003358258,-122.513777682552,1.15715318612507,1.59649443907252,1.2839955544448
"55","Azaserine*","S1L2",0.7835,2.31195345534713e-05,12356.8585601617,8.50275507442941,96975.97275,48.1438972221206,41.6777939285185,0.754281941204844,1.24150107105358,1.76226513633146
"56","Benzamidine","S1L2",1.299,4.46867884434292e-05,19873.3721473318,4.31210624975417,163369.366,-0.230508057001183,-10.4997454781863,1.27086320813358,2.09147933364086,2.54174160694152
"57","Blasticidin hydrochloride","S1L2",1.0155,4.03786443907497e-05,18492.7919288687,4.81767971861704,140209.63975,9.43247024651809,1.00970420275278,1.09068645958705,1.79498501520998,1.27621184416578
"58","Caffeine","S1L2",1.11,4.11729827624345e-05,19554.0085334926,4.69634883349705,145080.222,7.65080409111906,-2.92902672100512,1.12866664749485,1.85733894586472,1.29961596257014
"59","CCCP","S1L2",0.806,5.27234525803406e-05,63542.7247718869,4.4659150764093,77514.906,-58.6633554265655,-36.8883832193206,0.719286485758182,1.03393957109406,1.84942846741523
"60","Cetylpyridinium chloride","S1L2",0.8155,3.24445794298455e-05,41136.7850744511,5.93737397175012,97756.0455,27.2282302393269,19.7154168862993,0.760400275012827,1.25148768038743,24.2479506214451
"61","Chlorpromazine hydrochloride ","S1L2",1.11,4.39689536363919e-05,18727.4624030592,4.46722742007154,150256.45975,1.37956395570198,-10.8817054887604,1.16895606138842,1.92360592446178,1.27108391565109
"62","Cinnamic acid","S1L2",0.9155,6.72027697240942e-05,18373.0669688165,4.73781065857944,106067.53225,-102.236697646759,-72.1806618113427,1.06510207503899,1.41479135382775,1.28459673591146
"63","Compound 48/80*","S1L2",0.272,2.299427800577e-05,4258.87813806038,8.37358073489206,37486.98175,48.4248421691815,42.9233289523909,0.291585361392029,0.479914010382442,8.07035146959037
"64","Copper(II) sulfate","S1L2",0.53,2.20438053774828e-05,10163.3924462377,8.78881451264413,59066.43975,50.5567106194753,44.806154966741,0.459485194418047,0.756177495656486,22.5689473285048
"65","Cycloheximide","S1L2",0.5845,0.000106165170834943,7984.29680659669,1.81967234728522,57373.21575,-219.488224115042,-184.374140849127,0.554619043293719,0.765277817467031,26.5186170061428
"66","Dequalinium Chloride","S1L2",0.9525,3.46593130116561e-05,17327.157845549,5.56769797200139,134049.984,22.2606798771701,13.5349320108701,1.04291411792346,1.71612817063199,5.00067499410593
"67","Diamide","S1L2",0.1715,1.05655812389754e-05,2171.20870577253,61.6516022043014,23226.78275,76.3018643230392,76.3654847274264,0.180319797382968,0.297352785886376,0.323822256537811
"68","DMSO control","S1L2",0.8265,3.76221881517483e-05,20371.0391985342,5.13852366058821,109134.67325,-13.2183557506961,0,1,1.4557026909327,0.984746223698477
"69","DTT","S1L2",0.4125,2.46124800794881e-05,9901.65596650379,7.97580978178488,51287.208,44.7952858363746,37.9465126714836,0.399107813576039,0.656586594160744,9.55128498479723
"70","EDTA","S1L2",0.9775,2.98432734174566e-05,19319.0564858652,6.45179178655708,133558.4965,10.1911262334199,20.3694477402677,1.29507064217574,1.78148206213625,1.05310783419698
"71","ETOH control ","S1L2",1.206,6.42664847337279e-05,30862.0820952092,3.0775503547627,144705.403,-11.7686273755618,0,1,2.23578256118369,1.36118510455137
"72","Fluconazole","S1L2",0.8065,2.76320994727437e-05,15753.602336691,7.63617330007702,100970.9765,16.8453239448717,27.6425960250065,1.01224261011985,1.34681048488092,0.864460185232411
"73","Guanidine hydrochloride","S1L2",0.985,4.61710331713711e-05,21706.4579710465,4.18929434834896,132665.5075,-38.9448279267768,-22.6916463580746,1.28245594863283,1.76957084774799,1.31121628425618
"74","H2O control ","S1L2",1.1115,4.08682488216542e-05,54046.0613539749,4.77686565509109,128548.22625,8.33430896516684,0,1,1.64569383575905,1.28171710198221
"75","Hydroxyurea","S1L2",0.799,3.85026653813469e-05,16897.5767245508,6.52956899815112,98044.856,13.6402089488586,-0.940600543185312,0.763476588992322,1.25518507609189,1.58627731512208
"76","Hygromycin B","S1L2",1.0355,3.11583267202119e-05,24822.7057788518,6.30355359378922,134206.22525,30.1132386963449,21.4261584003755,1.04414647254334,1.71812839474645,1.5402328680976
"77","Menadione ","S1L2",0.2625,5.49159754108808e-06,53240.5073055841,37.305956273042,25508.003,90.4493248415639,90.8717312858272,0.180785620046584,0.394113468437811,3.33118177281446
"78","methylmethane sulfonate","S1L2",1.0595,4.51406672976695e-05,18523.4811112127,4.34078780500629,146583.8245,-1.24853843558667,-10.2620791026175,1.1404350941601,1.87658829249413,1.42922939012004
"79","Miconazole Nitrate","S1L2",0.9475,4.20610561501394e-05,18729.7654562423,4.58888974024046,124228.2325,-26.5764659739811,-11.8991722018211,1.19674029947699,1.65702949351217,1.22073915543675
"80","Miltefosine","S1L2",1.105,7.50921496653992e-05,51090.0382989645,3.20120060440306,119405.672,-125.978608171588,-106.090598956404,1.25726323765474,1.59270333494152,1.4554493727818
"81","Myclobutanil","S1L2",0.8865,2.07718892744489e-05,39549.3510666269,9.27147593551949,79194.15375,63.8747076050375,66.7156616962225,0.55241498625237,1.22359569325791,1.0877302646027
"82","Nystatin ","S1L2",0.2735,5.51803651385484e-06,26005.2402271988,44.8655251213895,30460.199,83.394293320977,85.7149570830801,0.278660222847438,0.406296114059659,6.78115885184092
"83","Pentamidine Isethionate","S1L2",0.9705,5.3789839031746e-05,19196.5576749571,3.58126145881832,136344.16875,-20.6482515806966,-33.103965098147,1.06071520614639,1.74549867080384,1.31593800255089
"84","Poly-L-lysine hydrochloride","S1L2",1.113,4.68988248586676e-05,18146.3501028129,4.1140997252972,150857.8525,-5.19200879274121,-16.9793554260715,1.17360802524256,1.93130504540974,1.45222106922297
"85","Propiconazole","S1L2",0.5355,1.84365853767604e-05,40161.6864854804,10.7278093573193,54190.96275,67.936135769825,71.3123461483778,0.370158843322759,0.837281863554223,4.33483355143277
"86","Sodium Fluoride","S1L2",1.329,3.57938201868041e-05,10677.0280414695,5.62634737774824,149049.8775,19.7160300036767,9.01554166088406,1.16051927303403,1.90815907599808,2.38470647794839
"87","Sodium metasilicate","S1L2",1.023,2.7478068197283e-05,13568.9532638033,7.58125236666364,132435.512,38.3678972740415,34.026649125836,1.03031203019942,1.69545945589423,2.73446779859214
"88","Sodium Orthovanadate","S1L2",0.8025,2.07536392350054e-05,16764.3679908687,9.31723244053488,103260.0915,53.4504967348538,48.9053016878812,0.803248204076879,1.32195130978297,20.7869196025155
"89","Sodium Selenate","S1L2",1.008,4.77653937480851e-05,19098.6496957812,4.05604177197385,131218.32725,-7.13568483387494,-19.5959980056287,1.02076858851874,1.67987687262187,1.66736552882433
"90","Tamoxifen","S1L2",0.529,3.39731571544693e-05,2228.5671435134,5.66860783989963,72929.79775,23.7996973937047,15.5722133163837,0.566594413957384,0.933658301647155,0.554043255229746
"91","Tartaric acid","S1L2",1.0045,3.91642597411945e-05,17518.5823091822,4.94376048791983,141776.82025,12.1562817944353,3.6845746844659,1.10288798610378,1.81504829701175,1.19383257927429
"92","Thialysine","S1L2",0.7125,2.06282578032577e-05,5655.25147861772,9.56070487620321,71338.55725,53.7317217913578,47.8981830608153,0.555191646355315,0.913287000086235,1.20085410071277
"93","Thiourea","S1L2",1.1085,3.90937593051534e-05,18265.1903108055,5.06785395320629,149159.16175,12.3144111827574,4.91755899009523,1.1602448924414,1.90955814949615,1.66037596094325
"94","Triclosan","S1L2",1.052,4.16410017420541e-05,15121.141310238,4.65210428408817,136809.51925,-25.3123749748765,-10.5804482592544,1.35672548518356,1.82484612256293,1.02799307446278
"95","Trifluoperazine","S1L2",1.0685,3.65838597469555e-05,22810.2307919763,5.27347294813675,134773.97125,17.9440058941494,8.76283844971864,1.04847396230566,1.72539676491174,1.31685999761038
"96","Urea hydrogen peroxide","S1L2",1.1595,4.38601502220488e-05,18089.2970597058,4.43715839648483,150341.42975,1.62360524570765,-7.49902661435421,1.16944043435683,1.92469372325375,2.00546138326584
"97","2-Deoxy-D-glucose","S2L1",0.5975,2.50141543994892e-05,24193.1799871166,7.70134324103491,73826.76425,64.7917408641778,38.5612176207106,0.79439139557526,0.915416518279273,1.08079523305189
"98","3-Amino-1,2,4- triazole","S2L1",0.5235,3.17791721034833e-05,29045.1406215492,6.15477844962268,70623.40175,55.2697521302507,21.1385503780096,0.756576583333903,0.875696357490344,0.84860991391125
"99","4-Aminopyridine","S2L1",0.521,1.96913676279211e-05,37018.2832482968,9.78005412615563,60304.45975,72.2837413126088,51.8196784351344,0.651176777386965,0.7477464188207,1.3499446177034
"100","5-Fluorocytosine","S2L1",1.271,2.97366419907772e-05,22832.562834187,6.67047893904272,105888.20025,58.1446815942802,25.8643077472777,1.14847196797409,1.31296296924883,1.18588530665806
"101","5-Fluorouracil","S2L1",0.832,3.00810678930807e-05,45121.6625515,6.5834842841647,101886.28175,40.4438071028436,45.6066911885077,0.98074655250681,1.39176080387945,8.95116560961895
"102","6-Azauracil","S2L1",0.916,7.65559237486452e-05,12602.7017510222,4.42740853965351,125152.2875,-51.5697307821661,-95.0365468462982,1.20778034970461,1.70957311687697,1.32787927589818
"103","Azaserine*","S2L1",0.507,1.93296756760584e-05,51613.9450405127,10.1348828242519,55984.62325,72.7928348348262,52.0032267145219,0.598130328684215,0.694182515153261,1.01894899144137
"104","Benzamidine","S2L1",0.601,3.28575321103101e-05,23186.8888598146,5.88191520626033,80516.4055,53.751924345401,18.9837692578614,0.864107318695314,0.998364865857874,1.25083947658578
"105","Blasticidin hydrochloride","S2L1",0.762,3.71788507522849e-05,33551.978935039,5.24619321892687,93294.48675,47.669523792288,9.94480656158129,1.01500283972947,1.15680695345302,0.861810960417481
"106","Caffeine","S2L1",0.727,2.81517062366754e-05,22544.588081643,6.83976624372941,83443.738,60.3755316903037,31.0669644614311,0.900425106951183,1.03466238684798,0.747024602573758
"107","CCCP","S2L1",0.6215,9.7962142257608e-05,3026.80452973312,1.99934024680905,49055.94225,-93.9509681521236,-103.231658045724,0.471537069139365,0.670101376242675,1.26546921931615
"108","Cetylpyridinium chloride","S2L1",0.664,8.63923918967915e-05,39807.8524653668,3.73451258972044,72021.478,-21.6001817486124,-125.357848015926,0.75357500316391,0.893031833398919,18.2620007876392
"109","Chlorpromazine hydrochloride ","S2L1",0.698,3.26905455777243e-05,23068.4568689437,5.89575446197708,90207.538,53.9869634763498,20.1523691425453,0.966741105643207,1.11853026740916,0.764461070938108
"110","Cinnamic acid","S2L1",0.529,5.6311990304001e-05,25046.5559375963,3.99318598197306,65083.19825,-11.4896508624053,8.91680622980112,0.622910479574364,0.889032780072629,0.802719664597815
"111","Compound 48/80*","S2L1",0.0215,2.05709171715885e-06,68499.5663777308,121.46186370444,1527.24625,97.1045745905622,95.2045245133074,0.0169476332842207,0.0189371220441925,0.322861314996173
"112","Copper(II) sulfate","S2L1",0.019,1.32385738551329e-06,8662.34213673843,151.050524979613,1074.38975,98.1366264418286,96.6924390830206,0.0109983495669922,0.0133219183342434,0.355498477961553
"113","Cycloheximide","S2L1",0.272,2.84141056212201e-05,7718.52257720715,8.1794832655996,24928.17875,43.7441529206213,54.9348944440872,0.243021313777793,0.340517501477579,10.0115456182386
"114","Dequalinium Chloride","S2L1",0.5695,2.99536513645295e-05,24122.1396796399,6.67134518752443,71606.50175,57.8392336409355,28.0248191774093,0.77381847238746,0.88788632664669,2.66240012641068
"115","Diamide","S2L1",0.022,1.74768501840372e-06,312.079916837462,110.310538980634,2843.1665,97.5400748698901,95.7329838480092,0.0298398448328459,0.0352539029003735,0.0428637520528456
"116","DMSO control","S2L1",0.7945,6.46707441051407e-05,12068.4260518138,3.76949106474401,104682.70875,-28.038782546491,0,1,1.42995983737701,0.983745118982132
"117","DTT","S2L1",0.0235,1.56873005922394e-06,45.7780129410926,127.671130548892,3171.79225,97.7919599616592,96.2327054085128,0.0340227604491085,0.0393287048091124,0.609399650519213
"118","EDTA","S2L1",0.6075,2.59806821633156e-05,26795.8539211586,7.41632265530093,79555.5185,48.5619817747877,48.5069353862433,0.765348989862643,1.08672385014783,0.627339998563993
"119","ETOH control ","S2L1",0.787,6.62772066751036e-05,34448.5891589101,2.93235492813021,89547.9705,-39.1300573332023,0,1,1.15434218716025,0.845820166380878
"120","Fluconazole","S2L1",0.543,3.66022384570438e-05,21849.2043512543,6.38558316786861,74997.347,27.5328262359716,42.1318761050976,0.708276382241666,1.02445948715315,0.626025452627207
"121","Guanidine hydrochloride","S2L1",0.61,3.67418950790594e-05,24459.1414795264,5.34743716865956,78429.1825,27.2563261878453,32.7344901357252,0.753217609807014,1.07133816455922,0.775235721291924
"122","H2O control ","S2L1",0.6955,4.12346802121474e-05,23646.0562809148,4.71809872779049,93897.98625,41.9608081446202,0,1,1.16429005821436,0.950967068668894
"123","Hydroxyurea","S2L1",0.259,1.48858941306843e-05,13941.0208331082,111.407460747053,33418.60375,79.0476060213232,67.0074398406649,0.39023233189176,0.414374681070756,0.412204838377763
"124","Hygromycin B","S2L1",0.5865,3.18015655518028e-05,33185.1303632456,6.07282300274673,71119.246,55.2382326025951,22.5077228937779,0.773672604837259,0.881844588711839,0.827852047342143
"125","Menadione ","S2L1",0.0365,2.39185178411269e-06,233.748124748922,80.4988249600563,4809.85125,94.9789906281442,96.3577528089405,0.0537293338625968,0.0620026805838157,0.614108975127499
"126","methylmethane sulfonate","S2L1",0.649,3.26112755738109e-05,23310.7957349725,5.90517142705523,87447.01025,54.0985386587408,19.9796843025243,0.943078895306221,1.08430104542997,0.852325343288807
"127","Miconazole Nitrate","S2L1",0.9095,3.61515402751632e-05,20397.5841076923,5.34309129782451,118240.42075,28.4251438875219,27.3854923838093,1.13153019628436,1.61515741086571,1.16467948003759
"128","Miltefosine","S2L1",0.957,3.34914912725736e-05,36825.9095393708,5.7512555709765,123363.75225,33.6916587624993,33.8297010597128,1.19935240309039,1.68514182726121,1.55073051978899
"129","Myclobutanil","S2L1",0.5035,1.68600045316604e-05,60911.8554917055,11.8994766093786,47733.65775,64.6072380716504,74.8196588172486,0.53333289705348,0.615323547598365,0.66534926489199
"130","Nystatin ","S2L1",0.016,1.61379760971953e-06,1142.69339956159,144.185264462591,1686.30575,96.8049125754763,96.2389427762094,0.0166073712840843,0.0230348404701356,0.582207009096799
"131","Pentamidine Isethionate","S2L1",0.6405,2.84814923591067e-05,22982.2928999722,6.7604455381168,84985.18625,59.9113466903823,30.1660007789668,0.914837214598435,1.0537756068903,0.820361200091288
"132","Poly-L-lysine hydrochloride","S2L1",0.6395,3.00614261928725e-05,24493.1263985905,6.40928925053137,86357.39125,57.6875369645651,26.1407539939624,0.923536077047829,1.07079029168959,0.830671838614315
"133","Propiconazole","S2L1",0.147,7.53655065320059e-06,41229.8800703373,44.1636166528646,13009.41325,84.179165401244,89.2406467346746,0.145224842365921,0.167701338855876,1.04818180338672
"134","Sodium Fluoride","S2L1",0.247,1.00742627455433e-05,47124.3236567604,39.2855129172488,22506.22325,85.8201381632676,73.516237782366,0.237871858365872,0.279066389221183,0.364557184826215
"135","Sodium metasilicate","S2L1",0.191,1.1501182435852e-05,12817.5874947668,348.673260040244,11097.31,83.8117009632709,74.6109582678582,0.129768398299345,0.137601329079864,0.267372674743108
"136","Sodium Orthovanadate","S2L1",0.0135,1.19427601311772e-06,0,161.603416790708,1588.58625,98.3190165584648,97.0590102845478,0.0169669991736272,0.0196977086661539,0.319211868470535
"137","Sodium Selenate","S2L1",0.4915,2.56555354732086e-05,24269.0039224672,7.51734000156577,65952.16175,63.888975546283,36.8722590547603,0.706194993705926,0.817775218723289,0.839840778278901
"138","Tamoxifen","S2L1",0.8015,3.39434209468167e-05,24465.34194307,5.67437940291056,105759.50075,52.2234994809091,16.9812643468161,1.13735231177152,1.31136715708787,0.795329029712374
"139","Tartaric acid","S2L1",0.8225,3.12355358977446e-05,22838.6103969362,6.18241832893607,99824.8,56.0349382765253,23.8818046160038,1.07955083999002,1.23777971013981,0.840730919519752
"140","Thialysine","S2L1",0.1875,7.01660093040941e-06,131428.394580213,28.1957737485139,8262.9205,90.1238994584782,83.0921094761612,0.0867596581941202,0.102456256775854,0.129787707880608
"141","Thiourea","S2L1",0.587,2.33581399371633e-05,30767.3841499427,8.93269758741318,72746.27025,67.1226366198796,44.3782576337525,0.798919553643216,0.902018910168585,0.841269410440869
"142","Triclosan","S2L1",0.721,2.78907063976176e-05,25132.9821248682,7.02397282399843,95076.15025,44.7804081903441,42.1169938306592,0.942401442633144,1.29873479558698,0.713929204193772
"143","Trifluoperazine","S2L1",0.6265,2.93150950361111e-05,24441.709173584,6.57024271132245,78536.16475,58.7380230353208,28.3006432871243,0.844650242705838,0.973810828969826,0.766962059456159
"144","Urea hydrogen peroxide","S2L1",0.7335,3.34870355352152e-05,23901.4501570107,5.78398548204112,88191.172,52.8658772155648,18.583806555248,0.950190612194651,1.09352829472285,1.19830332172074
"145","2-Deoxy-D-glucose","S2L2",0.5495,9.69915644459118e-06,37244.1210406542,20.2442961904314,47893.072,63.6252266034875,53.8296312406455,0.430651754312837,0.980223163197476,0.709461980821084
"146","3-Amino-1,2,4- triazole","S2L2",0.9755,2.6839523248966e-05,43501.226620801,7.19053251715539,101491.15825,-0.656338706238682,-28.7821384516642,0.909525928178439,2.07721033589974,1.20986276548374
"147","4-Aminopyridine","S2L2",0.5135,1.53269687696117e-05,15829.7704006387,12.7223779612059,60863.62825,42.5192263847901,26.2593263016584,0.539024505574549,1.24569036220709,1.34706935922396
