"","sample","count","mean","sd","y"
"109","Caffeine",6,0.000148818777337968,2.13494979481861e-05,"S6.113"
"110","Cetylpyridinium chloride",6,0.000335280077453729,0.000503452106739915,"S6.113"
"111","Chlorpromazine hydrochloride ",6,0.000146635107577491,2.32395669433505e-05,"S6.113"
"112","Compound 48/80*",6,6.99253889327473e-05,5.86594938542792e-05,"S6.113"
"113","Copper(II) sulfate",6,1.88049345795144e-05,6.56698389286516e-06,"S6.113"
"114","Dequalinium Chloride",6,0.000141486245445567,2.07425469849764e-05,"S6.113"
"115","Diamide",6,7.25181674685703e-05,5.21146185670604e-05,"S6.113"
"116","DTT",6,4.07215591303298e-05,3.14896738651492e-05,"S6.113"
"117","Hydroxyurea",6,0.000120851829169604,7.73524834850008e-05,"S6.113"
"118","Hygromycin B",6,0.000123223944250274,5.28958456169449e-05,"S6.113"
"119","methylmethane sulfonate",6,0.00015354906772106,1.96002916639858e-05,"S6.113"
"120","Pentamidine Isethionate",6,0.000142932385268753,1.93382901166112e-05,"S6.113"
"121","Poly-L-lysine hydrochloride",6,0.000137639558068345,1.74272279703907e-05,"S6.113"
"122","Sodium Fluoride",6,0.000151498027385867,0.000112685183580036,"S6.113"
"123","Sodium metasilicate",6,6.2097957628377e-05,4.99244591235427e-05,"S6.113"
"124","Sodium Orthovanadate",6,0.000100944263251923,0.000129559562699364,"S6.113"
"125","Sodium Selenate",6,0.000141388419455941,1.4700864891822e-05,"S6.113"
"126","Tamoxifen",6,0.000166475805037561,4.61647587386236e-05,"S6.113"
"127","Tartaric acid",6,0.00015305147907316,2.48586228044966e-05,"S6.113"
"128","Thialysine",6,9.48045087405658e-05,4.00103266464732e-05,"S6.113"
"129","Thiourea",6,0.000144329445568616,3.2974285992322e-05,"S6.113"
"130","Trifluoperazine",6,0.000139025955965776,2.6786095984709e-05,"S6.113"
"131","Urea hydrogen peroxide",6,0.000137800953205125,2.30661568983495e-05,"S6.113"
"132","DMSO control",6,0.0003148441294716,0.000241780804053885,"S6.113"
"133","5-Fluorouracil",6,0.000328861388444334,0.000228893192035415,"S6.113"
"134","6-Azauracil",6,0.000305441269388619,0.000287406279991522,"S6.113"
"135","CCCP",6,0.000407307371579452,0.000298543307175492,"S6.113"
"136","Cinnamic acid",6,0.000474579079230104,0.000322628350239994,"S6.113"
"137","Cycloheximide",6,0.000183348056573937,0.000119144462663455,"S6.113"
"138","EDTA",6,0.000125713438246001,3.06104749648433e-05,"S6.113"
"139","Fluconazole",6,0.000209874209870714,9.22537312813494e-05,"S6.113"
"140","Guanidine hydrochloride",6,0.000145493618022311,1.62408237672953e-05,"S6.113"
"141","Miconazole Nitrate",6,0.000300866075442101,6.6840207716767e-05,"S6.113"
"142","Miltefosine",6,0.000236283313717586,9.01765764416239e-05,"S6.113"
"143","Nystatin ",6,6.46265159452748e-05,7.44896325205291e-05,"S6.113"
"144","Triclosan",6,0.000299099241297456,0.000188408269848529,"S6.113"
"145","ETOH control ",6,0.000220312219807416,4.89609678861554e-05,"U5.05"
"146","Menadione ",6,7.73113920847196e-05,3.45329352422424e-05,"U5.05"
"147","Myclobutanil",6,0.000170951116413613,5.36021600885364e-05,"U5.05"
"148","Propiconazole",6,0.000133442661314875,4.17980655249275e-05,"U5.05"
"149","H2O control ",6,0.00010440015215821,1.60104022128573e-05,"U5.05"
"150","2-Deoxy-D-glucose",6,0.000108449477449412,3.59673339984004e-05,"U5.05"
"151","3-Amino-1,2,4- triazole",6,0.000111247040834065,2.7188109931291e-05,"U5.05"
"152","4-Aminopyridine",6,0.000103569233417484,6.25273447855996e-05,"U5.05"
"153","5-Fluorocytosine",6,0.000169663198514791,3.67220794997137e-05,"U5.05"
"154","Azaserine*",6,0.00015459435603657,7.55542629372394e-05,"U5.05"
"155","Benzamidine",6,0.000102064609144932,3.78243619829677e-05,"U5.05"
"156","Blasticidin hydrochloride",6,0.000125829308093453,3.33398063302693e-05,"U5.05"
"157","Caffeine",6,0.000142828954578891,5.15466831044561e-05,"U5.05"
"158","Cetylpyridinium chloride",6,0.000122235970603685,9.27136304439212e-05,"U5.05"
"159","Chlorpromazine hydrochloride ",6,0.000133822322660165,6.13519093115294e-05,"U5.05"
"160","Compound 48/80*",6,6.68029830672481e-05,3.40226608377161e-05,"U5.05"
"161","Copper(II) sulfate",6,5.3886755760768e-05,7.04839539761726e-05,"U5.05"
"162","Dequalinium Chloride",6,9.06189354265427e-05,1.08830120721619e-05,"U5.05"
"163","Diamide",6,5.05971707938238e-05,4.35804824668229e-05,"U5.05"
"164","DTT",6,8.1970085232607e-05,4.68124084652313e-05,"U5.05"
"165","Hydroxyurea",6,4.92660590199141e-05,2.07121527155045e-05,"U5.05"
"166","Hygromycin B",6,9.58514901497637e-05,5.05334756965041e-05,"U5.05"
"167","methylmethane sulfonate",6,0.000144411302153227,3.79863338097639e-05,"U5.05"
"168","Pentamidine Isethionate",6,0.000146033687392054,4.46992096349034e-05,"U5.05"
"169","Poly-L-lysine hydrochloride",6,0.000125778124891116,5.51558087067135e-05,"U5.05"
"170","Sodium Fluoride",6,0.000232808932503751,7.40108351108307e-05,"U5.05"
"171","Sodium metasilicate",6,9.40656624780063e-05,4.21792389307993e-05,"U5.05"
"172","Sodium Orthovanadate",6,4.83016525909882e-05,2.41992995612893e-05,"U5.05"
"173","Sodium Selenate",6,0.000141591414039416,3.30522694333751e-05,"U5.05"
"174","Tamoxifen",6,0.000228861103350122,9.85406642376188e-05,"U5.05"
"175","Tartaric acid",6,0.000138327194198228,3.51790533736188e-05,"U5.05"
"176","Thialysine",6,0.000111300646397133,4.20792822996022e-05,"U5.05"
"177","Thiourea",6,0.000166000060568471,7.6358510283212e-05,"U5.05"
"178","Trifluoperazine",6,0.000155731672700131,6.19409402351544e-05,"U5.05"
"179","Urea hydrogen peroxide",6,0.000168836079892899,6.11654680758784e-05,"U5.05"
"180","DMSO control",6,0.000172295099602829,0.000159630477789411,"U5.05"
"181","5-Fluorouracil",6,0.000143137891513625,9.42869323521133e-05,"U5.05"
"182","6-Azauracil",6,0.000255287640942277,3.99275033035938e-05,"U5.05"
"183","CCCP",6,0.000395970008468102,0.000276915480880658,"U5.05"
"184","Cinnamic acid",6,0.000139020302821805,9.19695119184071e-05,"U5.05"
"185","Cycloheximide",6,0.000167433207583106,8.48917443850373e-05,"U5.05"
"186","EDTA",6,0.000134571122804248,2.11472110180523e-05,"U5.05"
"187","Fluconazole",6,0.000170473137994405,0.000156490832323115,"U5.05"
"188","Guanidine hydrochloride",6,0.000116974810600973,4.31474134311089e-05,"U5.05"
"189","Miconazole Nitrate",6,0.000205422439213282,0.000154150501595569,"U5.05"
"190","Miltefosine",6,0.000333279471051465,0.000164469899586763,"U5.05"
"191","Nystatin ",6,0.000254803772074906,0.000242360895712166,"U5.05"
"192","Triclosan",6,0.000387208314107067,0.00024011618893572,"U5.05"
"193","ETOH control ",6,0.000151912373231248,2.04836094592601e-05,"WLP.644"
"194","Menadione ",6,6.42006482855924e-05,2.67948411996255e-05,"WLP.644"
"195","Myclobutanil",6,0.000104905259375924,7.68163855490571e-06,"WLP.644"
"196","Propiconazole",6,0.000134787079629505,6.20146009390329e-05,"WLP.644"
"197","H2O control ",6,0.000237503880745048,0.000125641639137535,"WLP.644"
"198","2-Deoxy-D-glucose",6,0.000140696274277813,2.47473648279464e-05,"WLP.644"
"199","3-Amino-1,2,4- triazole",6,0.000141317862573327,1.28294373810069e-05,"WLP.644"
"200","4-Aminopyridine",6,0.000163040454707546,2.47936005334932e-05,"WLP.644"
"201","5-Fluorocytosine",6,0.000213132030210039,0.000110491991895492,"WLP.644"
"202","Azaserine*",6,0.000197054826687068,0.000176183480459989,"WLP.644"
"203","Benzamidine",6,0.000163012137612709,1.23826913580137e-05,"WLP.644"
"204","Blasticidin hydrochloride",6,0.000270596049659199,0.000159023225923584,"WLP.644"
"205","Caffeine",6,0.000209232729220056,0.000132794451747783,"WLP.644"
"206","Cetylpyridinium chloride",6,0.000851346784801611,0.00172695527295156,"WLP.644"
"207","Chlorpromazine hydrochloride ",6,0.00024318843527466,0.000140262614661635,"WLP.644"
"208","Compound 48/80*",6,0.000127385880937341,0.000180660177386141,"WLP.644"
"209","Copper(II) sulfate",6,2.19386983169664e-05,1.11814311173215e-05,"WLP.644"
"210","Dequalinium Chloride",6,0.000164577101230547,1.90105287191771e-05,"WLP.644"
"211","Diamide",6,7.08816780978128e-05,4.56975342130469e-05,"WLP.644"
"212","DTT",6,6.30801241423521e-05,4.31358041070898e-05,"WLP.644"
"213","Hydroxyurea",6,0.000127913099998035,9.2384574565443e-05,"WLP.644"
"214","Hygromycin B",6,0.000171629673126554,7.03117446526922e-05,"WLP.644"
"215","methylmethane sulfonate",6,0.000169515429180344,1.30073248921161e-05,"WLP.644"
"216","Pentamidine Isethionate",6,0.000163260452568979,1.40967009169027e-05,"WLP.644"
"217","Poly-L-lysine hydrochloride",6,0.000174238715787032,6.11103208029143e-05,"WLP.644"
"218","Sodium Fluoride",6,0.000164513974447867,0.000108114317351514,"WLP.644"
"219","Sodium metasilicate",6,0.000121527697873998,4.97508991329181e-05,"WLP.644"
"220","Sodium Orthovanadate",6,9.20004384751213e-05,9.06141645312919e-05,"WLP.644"
"221","Sodium Selenate",6,0.000195112611598727,0.000121198244184762,"WLP.644"
"222","Tamoxifen",6,0.000141464598852835,5.53335719172473e-05,"WLP.644"
"223","Tartaric acid",6,0.000213747193553948,0.000126426099349997,"WLP.644"
"224","Thialysine",6,0.000125208085624546,8.13065230027348e-05,"WLP.644"
"225","Thiourea",6,0.000177223359256139,3.62889502451531e-05,"WLP.644"
"226","Trifluoperazine",6,0.000155989970475094,1.31667795666835e-05,"WLP.644"
"227","Urea hydrogen peroxide",6,0.000186411818284281,6.93414195541808e-05,"WLP.644"
"228","DMSO control",6,0.000420439104085224,0.000234497666198623,"WLP.644"
"229","5-Fluorouracil",6,0.000302113938782555,0.000364856415698958,"WLP.644"
"230","6-Azauracil",6,0.000392271616059574,0.000200622531854301,"WLP.644"
"231","CCCP",6,0.000200620140044023,7.36147588810471e-05,"WLP.644"
"232","Cinnamic acid",6,0.000150931286166477,3.24296004111844e-05,"WLP.644"
"233","Cycloheximide",6,0.000267464923967849,0.000263400463677124,"WLP.644"
"234","EDTA",6,0.000176838276430212,6.86568883246012e-05,"WLP.644"
"235","Fluconazole",6,0.000141768525488869,2.16575272731278e-05,"WLP.644"
"236","Guanidine hydrochloride",6,0.00016145697444841,1.33132622883564e-05,"WLP.644"
"237","Miconazole Nitrate",6,0.000212530409319943,0.000144155775436235,"WLP.644"
"238","Miltefosine",6,0.000418973831864167,0.000358903141050307,"WLP.644"
"239","Nystatin ",6,0.000133833930832104,7.88902662704829e-05,"WLP.644"
"240","Triclosan",6,0.000342492310535026,0.000229971573312145,"WLP.644"
"241","ETOH control ",6,0.000110898127452264,7.32520281291401e-05,"W.34.70"
"242","Menadione ",6,9.57272222350496e-05,4.64839724397055e-05,"W.34.70"
"243","Myclobutanil",6,0.000101173470148855,7.12175296566921e-05,"W.34.70"
"244","Propiconazole",6,7.29087237274159e-05,4.62600024246869e-05,"W.34.70"
"245","H2O control ",6,9.42714304258078e-05,2.20939131727484e-05,"W.34.70"
"246","2-Deoxy-D-glucose",6,7.30683588055133e-05,2.10476095630623e-05,"W.34.70"
"247","3-Amino-1,2,4- triazole",6,0.000157096251648732,0.000116276592506773,"W.34.70"
"248","4-Aminopyridine",6,0.000136298861812735,0.000139325585629246,"W.34.70"
"249","5-Fluorocytosine",6,0.000105545336538327,2.96785462151891e-05,"W.34.70"
"250","Azaserine*",6,0.000189729454353952,0.000124403828420509,"W.34.70"
"251","Benzamidine",6,0.000104715962507511,3.69630482992877e-05,"W.34.70"
"252","Blasticidin hydrochloride",6,0.000115132955846949,7.55959992548913e-05,"W.34.70"
"253","Caffeine",6,9.77699903718226e-05,3.55569274042127e-05,"W.34.70"
"254","Cetylpyridinium chloride",6,7.67372244840182e-05,7.33538298195705e-05,"W.34.70"
"255","Chlorpromazine hydrochloride ",6,0.000110845528216766,7.27734088970218e-05,"W.34.70"
"256","Compound 48/80*",6,0.000351049675463579,0.000445957778949744,"W.34.70"
"257","Copper(II) sulfate",6,5.65968821832274e-05,4.92914310718573e-05,"W.34.70"
"258","Dequalinium Chloride",6,9.44805477167594e-05,4.26120277367519e-05,"W.34.70"
"259","Diamide",6,7.92911562106394e-05,6.64055585031553e-05,"W.34.70"
"260","DTT",6,8.84899192412214e-05,5.49185898848904e-05,"W.34.70"
"261","Hydroxyurea",6,0.000109357913990706,8.37428165505237e-05,"W.34.70"
"262","Hygromycin B",6,9.72325918696901e-05,8.77045896449589e-05,"W.34.70"
"263","methylmethane sulfonate",6,0.000120143472449676,6.84819042731536e-05,"W.34.70"
"264","Pentamidine Isethionate",6,8.57810014985955e-05,3.69769255586283e-05,"W.34.70"
"265","Poly-L-lysine hydrochloride",6,0.00011050462149788,4.81590909883148e-05,"W.34.70"
"266","Sodium Fluoride",6,0.00010373884061502,6.59813782284652e-05,"W.34.70"
"267","Sodium metasilicate",6,0.000158444963663004,0.000196132450515435,"W.34.70"
"268","Sodium Orthovanadate",6,7.83220481837982e-05,9.35729496414432e-05,"W.34.70"
"269","Sodium Selenate",6,8.29965010311072e-05,2.78371475231598e-05,"W.34.70"
"270","Tamoxifen",6,0.000285825932840309,0.000285506353382091,"W.34.70"
"271","Tartaric acid",6,9.45220355421191e-05,2.80078624981795e-05,"W.34.70"
"272","Thialysine",6,0.000172435806215793,0.000126552646601208,"W.34.70"
"273","Thiourea",6,0.000102298900247242,4.98971723757272e-05,"W.34.70"
"274","Trifluoperazine",6,9.30495804609789e-05,2.25179495462285e-05,"W.34.70"
"275","Urea hydrogen peroxide",6,0.000125784229899317,0.00010084090500735,"W.34.70"
"276","DMSO control",6,0.000316318360347919,0.000286891479266636,"W.34.70"
"277","5-Fluorouracil",6,0.000178163141148784,5.97830363981647e-05,"W.34.70"
"278","6-Azauracil",6,0.000393073464448651,0.000265192222340744,"W.34.70"
"279","CCCP",6,0.000195339252646496,0.00028206095552915,"W.34.70"
"280","Cinnamic acid",6,0.000131701475231311,8.60674732966457e-05,"W.34.70"
"281","Cycloheximide",6,8.62187967540351e-05,7.66891574239874e-05,"W.34.70"
"282","EDTA",6,9.18506808716376e-05,4.54303054762874e-05,"W.34.70"
"283","Fluconazole",6,0.0001340429423776,0.000114402940305686,"W.34.70"
"284","Guanidine hydrochloride",6,0.000108614899113613,2.9666253523776e-05,"W.34.70"
"285","Miconazole Nitrate",6,0.000158494621830917,7.83586069765478e-05,"W.34.70"
"286","Miltefosine",6,0.000190933509958914,0.000112117080437745,"W.34.70"
"287","Nystatin ",6,7.318124555422e-05,5.90666454699042e-05,"W.34.70"
"288","Triclosan",6,0.000301783218955706,0.000281580915569524,"W.34.70"
