"","sample","well","solvent","control","control2","auc","run","plate","A","mu","lambda","rel_fitness","rel_max_GR","DT","BYauc","BYmu","BYrel_auc","BYrel_mu","con_rel_auc","con_rel_mu"
"35","methylmethane sulfonate","F04","H2O",1,"case",107141.971,"SR1_results_MITACS DRUG RUN 2","S1L1",0.856,3.76007430229066e-05,25623.8645408042,1.25094939316848,1.04171649107832,5.1206669871278,NA,NA,NA,NA,1.05018857271961,0.626679050381777
"36","Hygromycin B","F05","H2O",1,"case",107289.309,"SR1_results_MITACS DRUG RUN 2","S1L1",0.83,3.75485199182203e-05,27297.066784358,1.25266965629198,1.04026966676067,5.12778889576001,NA,NA,NA,NA,1.05163275638063,0.625808665303671
"37","Thiourea","F06","H2O",1,"case",104286.0175,"SR1_results_MITACS DRUG RUN 2","S1L1",0.798,3.55361627806123e-05,24963.9657381424,1.21760435327051,0.984517959542857,5.41816753478852,NA,NA,NA,NA,1.02219497038129,0.592269379676872
"38","Sodium metasilicate","G02","H2O",1,"case",59686.536,"SR1_results_MITACS DRUG RUN 2","S1L1",0.622,2.70139032434876e-05,63730.3671556069,0.696877566210991,0.74841150027252,7.12747364767773,NA,NA,NA,NA,0.58503794047636,0.450231720724793
"39","Dequalinium Chloride","G03","H2O",1,"case",21950.9075,"SR1_results_MITACS DRUG RUN 2","S1L1",0.211,2.6969679375899e-06,14959.2725422,0.256290547582165,0.0747186292245695,71.3916101134426,NA,NA,NA,NA,0.21515930687261,0.0449494656264984
"40","Hydroxyurea","G04","H2O",1,"case",36523.671,"SR1_results_MITACS DRUG RUN 2","S1L1",0.44,1.7934208956824e-05,69395.053277022,0.426436658270317,0.496861490566465,10.7359562918225,NA,NA,NA,NA,0.357999218793266,0.298903482613733
"41","4-Aminopyridine","G06","H2O",1,"case",42368.3415,"SR1_results_MITACS DRUG RUN 2","S1L1",0.47,9.55208500805787e-06,67340.6632873714,0.494676834804354,0.264637442696648,20.1569482816005,NA,NA,NA,NA,0.41528775019812,0.159201416800964
"42","2-Deoxy-D-glucose","H03","H2O",1,"case",64743.1335,"SR1_results_MITACS DRUG RUN 2","S1L1",0.536,1.44517215001684e-05,27074.9937321142,0.755916498527462,0.400380295730463,13.323041375149,NA,NA,NA,NA,0.634601905575924,0.240862025002807
"43","Copper(II) sulfate","H05","H2O",1,"case",3576.646,"SR1_results_MITACS DRUG RUN 2","S1L1",0.034,1.70209101309063e-06,24871.7217212241,0.0417595747167883,0.0471558840359224,113.120204506139,NA,NA,NA,NA,0.0350577156907382,0.0283681835515104
"44","Benzamidine","H06","H2O",1,"case",91511.9875,"SR1_results_MITACS DRUG RUN 2","S1L1",0.676,3.49275107731478e-05,25345.3698300999,1.06845957902684,0.967655451450464,5.51258532963932,NA,NA,NA,NA,0.896985958372561,0.582125179552463
"45","ETOH control ","C01","ETOH",1,"ETOH",95953.3965,"SR1_results_MITACS DRUG RUN 2","S1L1",0.773,3.57016864811269e-05,28198.9783171265,1,1,5.39304728897491,NA,NA,NA,NA,0.940519943560999,0.595028108018782
"46","Menadione ","D03","ETOH",1,"case",7479.607,"SR1_results_MITACS DRUG RUN 2","S1L1",0.057,3.21205547930441e-06,10452.1862286337,0.0779504141888297,0.0899692926551916,59.9431998386808,NA,NA,NA,NA,0.0733139191534346,0.0535342579884067
"47","Myclobutanil","E01","ETOH",1,"case",87168.347,"SR1_results_MITACS DRUG RUN 2","S1L1",0.666,2.81948418498072e-05,29905.0078497768,0.908444621863907,0.789734173054035,6.82894000663424,NA,NA,NA,NA,0.854410284483735,0.46991403083012
"48","Propiconazole","G01","ETOH",1,"case",12009.5635,"SR1_results_MITACS DRUG RUN 2","S1L1",0.105,3.34540577478856e-06,8723.56056427585,0.125160379288919,0.0937044186009826,57.5538205080796,NA,NA,NA,NA,0.117715832864887,0.0557567629131426
"49","DMSO control","B07","DMSO-2",2,"DMSO",139616.865,"SR1_results_MITACS DRUG RUN 2","S1L1",1.063,4.39418744635745e-05,29359.9281319211,1,1,4.38171757211859,NA,NA,NA,NA,1.36850232279129,0.732364574392909
"50","EDTA","B09","DMSO-2",2,"case",129410.5215,"SR1_results_MITACS DRUG RUN 2","S1L1",1.06,4.03249516144402e-05,25816.5157214692,0.926897488351425,0.917688471570948,4.7747331560325,NA,NA,NA,NA,1.26846136579834,0.672082526907337
"51","6-Azauracil","B11","DMSO-2",2,"case",76564.2235,"SR1_results_MITACS DRUG RUN 2","S1L1",0.679,2.3581733614937e-05,31901.1178966514,0.548388072601401,0.5366574344589,8.16483158672083,NA,NA,NA,NA,0.750470351146056,0.393028893582283
"52","Nystatin ","D07","DMSO-2",2,"case",30864.1355,"SR1_results_MITACS DRUG RUN 2","S1L1",0.237,9.15851263306055e-06,6999.91448526501,0.221063089333799,0.208423348909534,21.0231607689044,NA,NA,NA,NA,0.302525351236723,0.152641877217676
"53","Triclosan","D08","DMSO-2",2,"case",132675.7195,"SR1_results_MITACS DRUG RUN 2","S1L1",1.003,4.79451085175593e-05,17554.9881894635,0.950284333486503,1.091102942304,4.01586083423626,NA,NA,NA,NA,1.30046631768845,0.799085141959322
"54","Miltefosine","E08","DMSO-2",2,"case",69605.9065,"SR1_results_MITACS DRUG RUN 2","S1L1",0.717,3.16747406318168e-05,63040.7975281701,0.498549415931951,0.720832714090826,6.0786885590302,NA,NA,NA,NA,0.682266033729116,0.527912343863613
"55","Fluconazole","F07","DMSO-2",2,"case",127684.9375,"SR1_results_MITACS DRUG RUN 2","S1L1",0.996,4.68100198395788e-05,30825.6095535056,0.914538064581238,1.0652713479117,4.11324080076711,NA,NA,NA,NA,1.25154746566048,0.780166997326314
"56","Cinnamic acid","F08","DMSO-2",2,"case",74659.2345,"SR1_results_MITACS DRUG RUN 2","S1L1",0.608,2.47058109718415e-05,40613.9933563061,0.534743667965901,0.562238440518083,7.79334399135177,NA,NA,NA,NA,0.73179795170927,0.411763516197359
"57","CCCP","F09","DMSO-2",2,"case",68343.051,"SR1_results_MITACS DRUG RUN 2","S1L1",0.693,4.78062620364763e-05,13617.6515475453,0.489504265834933,1.08794316628675,4.02752433022194,NA,NA,NA,NA,0.669887724811351,0.796771033941271
"58","Cycloheximide","G11","DMSO-2",2,"case",1198.5855,"SR1_results_MITACS DRUG RUN 2","S1L1",0.012,9.33387957270627e-06,0,0.00858481888989558,0.212414233271809,20.6281730966289,NA,NA,NA,NA,0.0117483445915646,0.155564659545105
"59","Miconazole Nitrate","H07","DMSO-2",2,"case",93469.496,"SR1_results_MITACS DRUG RUN 2","S1L1",0.724,3.45826744460755e-05,28201.4144751869,0.669471385136746,0.787009540859315,5.56755330733895,NA,NA,NA,NA,0.916173145601938,0.576377907434591
"60","Guanidine hydrochloride","H08","DMSO-2",2,"case",97239.4895,"SR1_results_MITACS DRUG RUN 2","S1L1",0.766,3.66951927270312e-05,25831.8804293478,0.696473807086271,0.83508482910645,5.24703289940865,NA,NA,NA,NA,0.953126022760855,0.61158654545052
"61","5-Fluorouracil","H10","DMSO-2",2,"case",6706.46,"SR1_results_MITACS DRUG RUN 2","S1L1",0.076,1.14629082870797e-05,0,0.0480347413616543,0.26086525499912,16.7968615526563,NA,NA,NA,NA,0.0657356551281027,0.191048471451328
"62","H2O control ","A07","H2O-2",2,"H2O",121097.0515,"SR1_results_MITACS DRUG RUN 2","S1L1",0.94,3.7429940335202e-05,25146.3192846399,1,1,5.14403394086614,NA,NA,NA,NA,1.18697405403657,0.623832338920034
"63","Cetylpyridinium chloride","A08","H2O-2",2,"case",4457.5185,"SR1_results_MITACS DRUG RUN 2","S1L1",0.062,9.09425368539255e-06,17064.3350054215,0.0368094717814001,0.242967357253295,21.1717079982207,NA,NA,NA,NA,0.0436918879473131,0.151570894756542
"64","Tamoxifen","A09","H2O-2",2,"case",135373.431,"SR1_results_MITACS DRUG RUN 2","S1L1",1.045,3.60520452657826e-05,22472.4077691998,1.11789204875892,0.963187355975464,5.34063690615679,NA,NA,NA,NA,1.32690885709063,0.600867421096377
"65","Sodium Fluoride","A10","H2O-2",2,"case",63382.036,"SR1_results_MITACS DRUG RUN 2","S1L1",0.584,1.08664832550142e-05,36072.580380785,0.523398672510206,0.290315270548121,17.7187852748982,NA,NA,NA,NA,0.621260644186798,0.181108054250237
"66","5-Fluorocytosine","A11","H2O-2",2,"case",70111.9355,"SR1_results_MITACS DRUG RUN 2","S1L1",0.583,2.80942169768561e-05,-1993.29278499317,0.578973101587036,0.750581398881744,6.85339917633183,NA,NA,NA,NA,0.687226049568891,0.468236949614269
"67","Azaserine*","A12","H2O-2",2,"case",42025.6725,"SR1_results_MITACS DRUG RUN 2","S1L1",0.83,8.10988454230417e-05,19015.1701983996,0.347041253105985,2.16668380170433,2.37415073524794,NA,NA,NA,NA,0.411928963117142,1.35164742371736
"68","Compound 48/80*","B08","H2O-2",2,"case",4877.191,"SR1_results_MITACS DRUG RUN 2","S1L1",0.043,6.86683402616859e-06,17197.9395531421,0.0402750598762514,0.183458321457982,28.0392510952101,NA,NA,NA,NA,0.0478054510978797,0.114447233769477
"69","Tartaric acid","B10","H2O-2",2,"case",118475.4775,"SR1_results_MITACS DRUG RUN 2","S1L1",1.011,3.49483329133578e-05,24763.8047089925,0.978351462999906,0.933699936478115,5.50930094337294,NA,NA,NA,NA,1.16127780230961,0.58247221522263
"70","DTT","B12","H2O-2",2,"case",6453.315,"SR1_results_MITACS DRUG RUN 2","S1L1",0.15,6.8179723115286e-06,166123.13953838,0.0532904387023824,0.18215290354381,28.2401973330551,NA,NA,NA,NA,0.0632543680679542,0.11363287185881
"71","Caffeine","C08","H2O-2",2,"case",114472.6575,"SR1_results_MITACS DRUG RUN 2","S1L1",0.969,3.58797572584887e-05,25791.4457879954,0.945296818395285,0.958584409624201,5.366281664108,NA,NA,NA,NA,1.12204279679852,0.597995954308145
"72","Chlorpromazine hydrochloride ","C09","H2O-2",2,"case",121944.971,"SR1_results_MITACS DRUG RUN 2","S1L1",1.007,3.79510288660876e-05,25518.0180086472,1.00700198303342,1.01392170348707,5.07340352137133,NA,NA,NA,NA,1.19528522622404,0.632517147768126
"73","Sodium Orthovanadate","C10","H2O-2",2,"case",4771.4795,"SR1_results_MITACS DRUG RUN 2","S1L1",0.057,4.15350216963492e-06,93639.2223622083,0.0394021112892249,0.110967373510041,46.3562737240119,NA,NA,NA,NA,0.0467692837745714,0.069225036160582
"74","Blasticidin hydrochloride","C11","H2O-2",2,"case",99634.836,"SR1_results_MITACS DRUG RUN 2","S1L1",0.839,3.49818837414825e-05,25419.1645695273,0.822768471782321,0.934596299865935,5.50401701954527,NA,NA,NA,NA,0.976604828484934,0.583031395691375
"75","Diamide","C12","H2O-2",2,"case",57666.777,"SR1_results_MITACS DRUG RUN 2","S1L1",0.613,3.31009195285836e-05,64858.9031760117,0.476202981705133,0.884343368761742,5.81678352840347,NA,NA,NA,NA,0.565240583738844,0.55168199214306
"76","Trifluoperazine","D10","H2O-2",2,"case",93552.9755,"SR1_results_MITACS DRUG RUN 2","S1L1",0.753,3.47012747038263e-05,25362.3848619569,0.772545444675835,0.927099386027887,5.54852480585226,NA,NA,NA,NA,0.916991398394361,0.578354578397104
"77","3-Amino-1,2,4- triazole","D11","H2O-2",2,"case",74046.2525,"SR1_results_MITACS DRUG RUN 2","S1L1",0.62,2.91655982576608e-05,23364.5924179094,0.611462059420993,0.779205042713659,6.60164354551856,NA,NA,NA,NA,0.725789599560485,0.486093304294347
"78","Sodium Selenate","D12","H2O-2",2,"case",84091.531,"SR1_results_MITACS DRUG RUN 2","S1L1",0.627,5.3755585684328e-05,14692.1798441252,0.694414355745069,1.43616541204507,3.58178375396266,NA,NA,NA,NA,0.824251823019918,0.895926428072133
"79","Poly-L-lysine hydrochloride","E09","H2O-2",2,"case",102752.5565,"SR1_results_MITACS DRUG RUN 2","S1L1",0.795,3.67951493871571e-05,26120.3902889364,0.848514106885583,0.983040556774601,5.23277895852429,NA,NA,NA,NA,1.0071642293572,0.613252489785952
"80","Pentamidine Isethionate","E10","H2O-2",2,"case",105954.791,"SR1_results_MITACS DRUG RUN 2","S1L1",0.838,3.56625040305314e-05,25883.5173501399,0.874957645025734,0.952780146352294,5.39897263871419,NA,NA,NA,NA,1.03855202302649,0.594375067175524
"81","Thialysine","E11","H2O-2",2,"case",52587.308,"SR1_results_MITACS DRUG RUN 2","S1L1",0.548,1.35423286324349e-05,57245.084528978,0.434257542595907,0.361804707973276,14.2177086906401,NA,NA,NA,NA,0.515452435831022,0.225705477207249
"82","Urea hydrogen peroxide","E12","H2O-2",2,"case",57846.177,"SR1_results_MITACS DRUG RUN 2","S1L1",0.539,2.54937561047855e-05,21166.6583387794,0.477684438088899,0.681105977633879,7.55247216994953,NA,NA,NA,NA,0.566999034028562,0.424895935079759
"83","methylmethane sulfonate","F10","H2O-2",2,"case",98725.328,"SR1_results_MITACS DRUG RUN 2","S1L1",0.733,3.6042412441976e-05,14093.5302111404,0.815257900808592,0.962929999866414,5.34206426384032,NA,NA,NA,NA,0.967689975608119,0.600706874032933
"84","Hygromycin B","F11","H2O-2",2,"case",74516.9395,"SR1_results_MITACS DRUG RUN 2","S1L1",0.562,2.98968374867208e-05,27186.5551577394,0.615348917062609,0.798741254166614,6.44017560634612,NA,NA,NA,NA,0.730403198732818,0.49828062477868
"85","Thiourea","F12","H2O-2",2,"case",78187.3925,"SR1_results_MITACS DRUG RUN 2","S1L1",0.595,7.43501261757491e-05,15892.961009244,0.64565892836788,1.98638110320001,2.58965106573922,NA,NA,NA,NA,0.76638039572973,1.23916876959582
"86","Sodium metasilicate","G08","H2O-2",2,"case",41100.3785,"SR1_results_MITACS DRUG RUN 2","S1L1",0.659,2.09839726127819e-05,87727.9623327889,0.339400323879892,0.560619985628108,9.17561641171757,NA,NA,NA,NA,0.402859378377041,0.349732876879698
"87","Dequalinium Chloride","G09","H2O-2",2,"case",33597.7735,"SR1_results_MITACS DRUG RUN 2","S1L1",0.336,4.96742356518411e-06,49571.0992845848,0.27744501690035,0.132712569688826,38.7607138715455,NA,NA,NA,NA,0.329320036482452,0.0827903927530685
"88","Hydroxyurea","G10","H2O-2",2,"case",85354.498,"SR1_results_MITACS DRUG RUN 2","S1L1",0.653,3.27953693447048e-05,28247.9007154987,0.704843734366233,0.876180112792258,5.8709777427758,NA,NA,NA,NA,0.836631224842962,0.546589489078413
"89","4-Aminopyridine","G12","H2O-2",2,"case",46971.2955,"SR1_results_MITACS DRUG RUN 2","S1L1",0.392,2.46882101284442e-05,5266.5249124438,0.387881413446305,0.659584544013432,7.79890006149292,NA,NA,NA,NA,0.460405173803796,0.411470168807404
"90","2-Deoxy-D-glucose","H09","H2O-2",2,"case",72164.579,"SR1_results_MITACS DRUG RUN 2","S1L1",0.616,1.60038040764512e-05,29673.209867155,0.595923501902934,0.427566913896468,12.0309448034413,NA,NA,NA,NA,0.707345734949396,0.266730067940854
"91","Copper(II) sulfate","H11","H2O-2",2,"case",2058.774,"SR1_results_MITACS DRUG RUN 2","S1L1",0.117,1.57868835145943e-06,36530.1255100786,0.0170010250001834,0.0421771538325085,121.96256677949,NA,NA,NA,NA,0.0201797755672448,0.0263114725243238
"92","Benzamidine","H12","H2O-2",2,"case",49349.5705,"SR1_results_MITACS DRUG RUN 2","S1L1",0.398,2.52860880909459e-05,26860.5418314938,0.407520826384448,0.675557798502951,7.61449864432831,NA,NA,NA,NA,0.483716647397881,0.421434801515765
"93","ETOH control ","C07","ETOH-2",2,"ETOH",117911.9245,"SR1_results_MITACS DRUG RUN 2","S1L1",1.007,3.59261542783346e-05,29264.2786767486,1,1,5.35935135158584,NA,NA,NA,NA,1.15575394536356,0.598769237972243
"94","Menadione ","D09","ETOH-2",2,"case",8258.7515,"SR1_results_MITACS DRUG RUN 2","S1L1",0.076,4.4647993689985e-06,224.077310521361,0.0700416987935771,0.12427713064994,43.124196089479,NA,NA,NA,NA,0.0809509697206426,0.0744133228166417
"95","Myclobutanil","E07","ETOH-2",2,"case",59376.453,"SR1_results_MITACS DRUG RUN 2","S1L1",0.584,1.82945651977582e-05,43835.8605459534,0.503566142710189,0.509226928549678,10.5244853543974,NA,NA,NA,NA,0.581998556188809,0.304909419962636
"96","Propiconazole","G07","ETOH-2",2,"case",12785.2585,"SR1_results_MITACS DRUG RUN 2","S1L1",0.148,8.64865504309378e-06,73380.3832923528,0.108430581166538,0.240734228776315,22.2625231934327,NA,NA,NA,NA,0.12531907198129,0.14414425071823
