"","sample","AVE_auc","AVE_A","AVE_mu","AVE_lambda","AVE_DT","AVE_rel_fit","AVE_rel_max_GR","AVE_con_rel_auc","AVE_con_rel_mu","AVE_BYmu","AVE_BYauc","AVE_BYrel_mu","AVE_BYrel_auc","control2","run","plate"
"20","DMSO control",83221.72925,0.761,1.77225075249942e-05,36375.2967882558,10.9153265840322,1,1,1.17027892544696,0.553828360156068,3.84078528875189e-05,111133.25375,0.466565322999706,0.753769266570672,"DMSO","SR1_results_MITACS DRUG RUN 2","S1L2"
"21","DTT",77685.90575,0.647,1.63103092109445e-05,13534.626013859,13.3080376990761,0.576568284958472,0.273943366722619,1.09243317968527,0.509697162842015,3.93734006787458e-06,5419.9335,11.1053737304308,15.7890725329144,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"22","EDTA",105765.99875,0.852,2.03226213763914e-05,15326.8165616291,9.49072181546457,1.34077688057102,1.15539715794041,1.48730049809647,0.635081918012232,3.88295920765401e-05,126814.255,0.52499893235178,0.834228458183941,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"23","ETOH control ",134624.48475,1.009,5.93783392726853e-05,25871.7753262558,3.47597883250686,1,1,1.89311371887987,1.85557310227142,3.58139203797308e-05,106932.6605,1.65663815531541,1.2675047280531,"ETOH","SR1_results_MITACS DRUG RUN 2","S1L2"
"24","Fluconazole",116391.464,0.9475,1.65391476165047e-05,16166.7945154353,11.6688469783825,1.46054819866021,0.934514957685755,1.63671770159857,0.516848363015771,3.95329549907668e-05,118528.18925,0.429179344362911,0.983908001788461,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"25","Guanidine hydrochloride",43784.543,0.3455,1.91342187383375e-05,13386.8070893838,10.0663507513738,0.553696926303479,1.08616118985739,0.615706119002885,0.597944335573048,5.11498102191831e-05,101511.976,0.404344748995611,0.43243315397156,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"26","H2O control ",134808.535,1.005,5.86199808614395e-05,18308.5684869843,3.57864179864883,1,1,1.89570186659969,1.83187440191999,3.67624635810847e-05,103372.7885,1.60338870898838,1.34323084741207,"H2O","SR1_results_MITACS DRUG RUN 2","S1L2"
"27","Hydroxyurea",91655.30825,0.7905,2.8553022361977e-05,78452.733344651,7.52916196066886,0.679417563015763,0.579848449552703,1.28887343025644,0.892281948811781,2.53647891507644e-05,60939.0845,1.11482690738953,1.47802245555182,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"28","Hygromycin B",70168.737,0.777,1.91808080118185e-05,12983.3170549621,10.0384129405728,0.520514956605893,0.356037067933207,0.986725400642051,0.599400250369327,3.37226787024705e-05,90903.12425,0.575899367853915,0.79662917675455,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"29","Menadione ",48081.03725,0.4145,1.64358179280239e-05,13396.0864939048,12.2309598518196,0.355785894125814,0.312514304136939,0.676124193938272,0.513619310250746,3.83842742415145e-06,7869.17925,4.54653920288447,6.08275966344618,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"30","methylmethane sulfonate",112168.2325,0.851,2.43649931143298e-05,22841.2270487455,7.91079864592799,0.832051005105019,0.448616878715307,1.57732986063114,0.761406034822808,3.68215777324413e-05,102933.6495,0.661543044130211,1.09177255145812,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"31","Miconazole Nitrate",30927.89975,0.2625,1.49226749456549e-05,17208.4024360163,15.1818677592652,0.34611607338388,0.823547088384738,0.43491368915242,0.466333592051716,3.6104437365537e-05,103154.18275,0.420817388744948,0.317026090750322,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"32","Miltefosine",137437.558,1.1145,4.56103639103212e-05,28724.8821662981,4.392809038539,1.72364529770803,2.55074181014822,1.93267166089672,1.42532387219754,3.19927070430376e-05,79951.5085,1.42858857346547,1.76058370626403,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"33","Myclobutanil",104161.871,1.0445,2.03998763613223e-05,24400.0071085279,9.54511890420558,0.780132396934381,0.378376103706046,1.46474296514843,0.637496136291321,2.32447035237827e-05,73272.4,0.898598524341124,1.4230163993716,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"34","Nystatin ",42028.245,0.393,9.27449380908973e-06,9932.47459593704,27.5805988343965,0.516318260075573,0.507885968156839,0.591008740629139,0.289827931534054,5.96530432983998e-06,16355.936,1.59908569426718,10.5439911727273,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"35","Pentamidine Isethionate",132413.76375,0.989,3.86617927350439e-05,18449.3105839474,4.98741332710822,0.982228043299308,0.71071345221247,1.86202616254502,1.20818102297012,3.49819576057137e-05,103602.867,1.10643256593316,1.2785600706548,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"36","Poly-L-lysine hydrochloride",137661.86525,1.025,4.17577186621838e-05,19416.8437528178,4.61520772986663,1.02112783695985,0.782918794542466,1.9358259097914,1.30492870819324,3.57732764917826e-05,103915.50625,1.16722240965484,1.32528129731593,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"37","Propiconazole",59533.8225,0.463,1.92265827766101e-05,12742.1027378753,10.0193899423539,0.443639251955243,0.345075424703167,0.837175320086854,0.600830711769065,5.99703040894117e-06,12397.411,3.94542471794989,4.81411776762211,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"38","Sodium Fluoride",172726.95375,1.5765,5.28796669859859e-05,14240.460958808,3.75132774446787,1.28126552907922,1.03113563135928,2.42891749128461,1.65248959331206,1.25564906396365e-05,62004.852,4.38798534881875,2.78665797634685,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"39","Sodium metasilicate",158034.109,1.293,4.12522287400073e-05,13050.3851065753,4.69523532894724,1.17247175783036,0.74980874816472,2.2223040656715,1.28913214812523,2.39989379281347e-05,50393.45725,1.72959112855797,3.18813152277564,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"40","Sodium Orthovanadate",109154.12325,0.936,2.89869746785929e-05,21475.8357941556,6.65475898180884,0.809716130252275,0.532087353599272,1.53494491422281,0.905842958706028,2.79516458150347e-06,4971.86375,13.8618071412818,21.978748308386,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"41","Sodium Selenate",124752.096,0.903,4.84819604943632e-05,19855.761641393,3.99536335247894,0.925398682386112,0.881096545050651,1.75428641257339,1.51506126544885,3.50233055009664e-05,79038.31225,2.01927163403972,1.58446006530289,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"42","Tamoxifen",119441.13275,1.0325,3.4931442316094e-05,46304.4823248601,5.64153102517107,0.885819395966243,0.6774552268915,1.67960269209184,1.09160757237794,3.77468800947991e-05,132997.132,0.933591765115329,0.896230462772848,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"43","Tartaric acid",101509.45325,0.83,2.32101422118213e-05,17594.5238297653,8.31729940119053,0.753008522823771,0.437716878872053,1.42744418966899,0.725316944119417,3.55529525816662e-05,118755.5725,0.653589803156,0.85475310497718,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"44","Thialysine",107566.461,0.9365,2.39393994077833e-05,37693.8396146614,8.04589544558848,0.798000596376678,0.442463746767539,1.51261892209735,0.748106231493227,1.54088822306086e-05,62817.85825,1.5730281648301,1.74149461883539,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"45","Thiourea",114100.823,0.852,2.4739950491683e-05,22960.1370395559,7.78259364687847,0.846389550982368,0.459920662616608,1.60450629584886,0.773123452865095,5.49431444781807e-05,91236.705,0.514340383412173,1.27729953656072,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"46","Triclosan",158254.066,1.1495,8.1573841535147e-05,15544.7523615254,2.54391052524667,2.00563528789635,4.7095211904816,2.22539714056822,2.54918254797334,4.19929931413747e-05,133059.18425,2.05786838932694,1.18939359852317,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"47","Trifluoperazine",134692.71025,0.9785,4.66806461431895e-05,19850.3323815294,4.20563423425509,0.999149320244941,0.833109452140389,1.8940731181323,1.45877019197467,3.59660245990114e-05,103438.238,1.29317482093916,1.31369380684659,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
"48","Urea hydrogen peroxide",135427.50275,1.03,4.24014428687351e-05,18896.6441411502,4.56965168310068,1.00462060316684,0.770171320314896,1.90440590243125,1.32504508964797,3.31543709599306e-05,80634.3535,1.32627922202893,1.8168133825475,"case","SR1_results_MITACS DRUG RUN 2","S1L2"
