"","strain","sample","p_adj","sig","plate"
"268","WLP.644","Thialysine",0.999841937682623,0,"S3L1"
"269","WLP.644","Thiourea",0.999841937682623,0,"S3L1"
"270","WLP.644","Trifluoperazine",0.999841937682623,0,"S3L1"
"271","WLP.644","Urea hydrogen peroxide",0.999841937682623,0,"S3L1"
"272","WLP.644","ETOH control ",0.00329918380271877,1,"S3L1"
"273","WLP.644","Menadione ",0.171421992027884,0,"S3L1"
"274","WLP.644","Myclobutanil",0.508863830163069,0,"S3L1"
"275","WLP.644","Propiconazole",0.706470105010951,0,"S3L1"
"276","WLP.644","DMSO control",0.0921636129544071,0,"S3L1"
"277","WLP.644","5-Fluorouracil",0.431081241959666,0,"S3L1"
"278","WLP.644","6-Azauracil",0.0163720684806075,1,"S3L1"
"279","WLP.644","CCCP",0.304923175033478,0,"S3L1"
"280","WLP.644","Cinnamic acid",0.600048887657799,0,"S3L1"
"281","WLP.644","Cycloheximide",0.600048887657799,0,"S3L1"
"282","WLP.644","EDTA",0.460028705630677,0,"S3L1"
"283","WLP.644","Fluconazole",0.629863151028615,0,"S3L1"
"284","WLP.644","Guanidine hydrochloride",0.325629553082392,0,"S3L1"
"285","WLP.644","Miconazole Nitrate",0.33747621411447,0,"S3L1"
"286","WLP.644","Miltefosine",0.0163720684806075,1,"S3L1"
"287","WLP.644","Nystatin ",0.913470873576079,0,"S3L1"
"288","WLP.644","Triclosan",0.249637323876328,0,"S3L1"
